,freq,redchi,norm,width
98,3.0916532929704084,3.8252845528455284,0.000271074,0.339938
99,3.1259976707269,3.836869918699187,0.000235678,0.343536
100,3.1607235713036137,3.847886178861789,0.000207924,0.347662
101,3.195835232938998,3.8580894308943092,0.000162516,0.351145
102,3.2313369409529997,3.866829268292683,0.00012174,0.354597
103,3.267233028270078,3.8735365853658537,9.70806e-05,0.358504
104,3.3035278759480278,3.8779674796747967,6.48346e-05,0.362853
105,3.3402259137126866,3.8808943089430894,4.35315e-05,0.366497
106,3.377331620498571,3.8825609756097563,2.57041e-05,0.370478
107,3.4148495249955215,3.883130081300813,0.0,0.341485
108,3.452784206201428,3.883130081300813,0.0,0.345278
109,3.4911402939810827,3.883130081300813,0.0,0.349114
110,3.52992246963125,3.883130081300813,0.0,0.352992
