freq,redchi,fitstat,norm,width
2.7077988726855153,6.2091463414634145,1527.45,0.0,0.27078
2.737879110849208,6.2091463414634145,1527.45,0.0,0.273788
2.7682935026079525,6.2091463414634145,1527.45,0.0,0.276829
2.7990457599877123,6.2091463414634145,1527.45,0.0,0.279905
2.8301396362503914,6.2091463414634145,1527.45,0.0,0.283014
2.8615789263519074,6.2091463414634145,1527.45,0.0,0.286158
2.8933674674053647,6.2091463414634145,1527.45,0.0,0.289337
2.9255091391493653,6.2091463414634145,1527.45,0.0,0.292551
2.9580078644215257,6.2091463414634145,1527.45,0.0,0.295801
2.9908676096372515,6.2091463414634145,1527.45,0.0,0.299087
3.024092385273832,6.2091463414634145,1527.45,0.0,0.302409
3.057686246359914,6.2091463414634145,1527.45,0.0,0.305769
