Source,ObsID,QPO0_freq,QPO0_pos_err,QPO0_neg_err,QPO0_FWHM,QPO0_FWHM_pos_err,QPO0_FWHM_neg_err,QPO0_IP,QPO0_IP_pos_err,QPO0_IP_neg_err,Sig.,QPO1_freq,QPO1_pos_err,QPO1_neg_err,QPO1_FWHM,QPO1_FWHM_pos_err,QPO1_FWHM_neg_err,QPO1_IP,QPO1_IP_pos_err,QPO1_IP_neg_err,Sig.,QPO2_freq,QPO2_pos_err,QPO2_neg_err,QPO2_FWHM,QPO2_FWHM_pos_err,QPO2_FWHM_neg_err,QPO2_IP,QPO2_IP_pos_err,QPO2_IP_neg_err,Sig.,QPO3_freq,QPO3_pos_err,QPO3_neg_err,QPO3_FWHM,QPO3_FWHM_pos_err,QPO3_FWHM_neg_err,QPO3_IP,QPO3_IP_pos_err,QPO3_IP_neg_err,Sig.,Type,1st_time,last_time
H1743-322,80146-01-40-00-3,,,,,,,,,,,1.76279187E+00,6.09850930E-03,6.02776324E-03,2.43687660E-01,1.69593524E-02,1.55815799E-02,2.13022418E-02,1.00071717E-03,1.00289402E-03,21.2408,3.41780567E+00,2.45129429E-02,2.41123755E-02,6.68885529E-01,8.37240890E-02,7.22027123E-02,4.42566350E-03,4.51355038E-04,4.24178055E-04,10.4335,5.34416008E+00,1.57481447E-01,2.18911558E-01,1.94265783E+00,6.47801697E-01,5.11266351E-01,1.74484449E-03,6.56150922E-04,4.65990917E-04,3.74437,C,6864.0,8736.0
H1743-322,80146-01-42-00,1.51340163E+00,3.01873405E-02,3.04217488E-02,9.57042217E-01,1.38721302E-01,1.32626355E-01,4.37806454E-03,9.05764871E-04,8.73687328E-04,5.01102,3.03260636E+00,5.61628165E-03,5.48497494E-03,3.43279749E-01,1.68267023E-02,1.59652438E-02,1.87848937E-02,6.47432462E-04,6.58413803E-04,28.5305,5.96073151E+00,2.64020320E-02,2.66076624E-02,1.00172389E+00,1.21758141E-01,1.16078489E-01,2.71916133E-03,3.66212073E-04,3.79433506E-04,7.16637,,,,,,,,,,,C,0.0,3205.0
H1743-322,80146-01-42-00-2,1.67277980E+00,3.02077774E-02,3.40757035E-02,7.11392522E-01,1.82378426E-01,2.24111930E-01,3.10357590E-03,1.01164111E-03,1.18646957E-03,2.61581,3.29600978E+00,5.28910803E-03,5.29363239E-03,3.18224996E-01,1.84145030E-02,1.76264532E-02,1.77182183E-02,7.68366386E-04,7.65885226E-04,23.1343,6.51304579E+00,2.13802084E-02,2.11893227E-02,7.82799304E-01,9.98194814E-02,9.05652568E-02,1.78746355E-03,2.50312907E-04,2.25833457E-04,7.91496,,,,,,,,,,,C,5696.0,8893.0
H1743-322,80146-01-43-00,1.84697664E+00,2.86668707E-02,2.72988211E-02,9.04075325E-01,1.04462512E-01,1.03146039E-01,3.44262063E-03,4.36593487E-04,4.55501984E-04,7.55786,3.79331088E+00,4.71364334E-03,4.60049184E-03,3.80312026E-01,1.48356864E-02,1.36410249E-02,1.86117012E-02,4.32027213E-04,4.23703401E-04,43.9262,7.50685501E+00,2.04406418E-02,1.99503787E-02,6.58658683E-01,6.50565326E-02,6.08076304E-02,1.29037525E-03,1.04826962E-04,1.02848760E-04,12.5463,,,,,,,,,,,C,0.0,3200.0
H1743-322,80146-01-43-01,1.86669564E+00,5.79125956E-02,8.18934217E-02,1.09815836E+00,2.57684350E-01,1.90610677E-01,3.54814157E-03,1.21000805E-03,8.72002216E-04,4.06896,3.79732609E+00,9.30479914E-03,8.88710003E-03,4.51459229E-01,2.28119921E-02,2.10229494E-02,1.74869951E-02,6.03980734E-04,5.97401930E-04,29.2717,7.51590395E+00,4.18449678E-02,4.17033210E-02,8.47171545E-01,1.66780770E-01,1.45337939E-01,1.32732198E-03,2.35623927E-04,2.18499365E-04,6.07472,,,,,,,,,,,C,0.0,1424.0
H1743-322,80146-01-44-00,1.89745927E+00,3.53735760E-02,3.71895060E-02,1.09272969E+00,1.61349103E-01,1.51316658E-01,3.74501804E-03,7.07017491E-04,6.76901313E-04,5.53259,3.78450751E+00,7.55436532E-03,7.47198798E-03,3.19263756E-01,2.13326272E-02,2.22910345E-02,1.55671146E-02,9.57143086E-04,1.16649666E-03,13.3452,7.54417992E+00,2.60444377E-02,2.56980248E-02,7.51506865E-01,1.04314834E-01,9.35643241E-02,1.24822755E-03,1.66556812E-04,1.53427623E-04,8.13561,,,,,,,,,,,C,0.0,3200.0
H1743-322,80146-01-45-00,1.72211480E+00,2.33248025E-02,2.70137526E-02,9.38732326E-01,9.01018530E-02,8.12951252E-02,4.00841609E-03,4.88625374E-04,4.41275100E-04,9.08371,3.61640882E+00,4.06219717E-03,3.85842612E-03,4.53954756E-01,1.08367335E-02,1.10180844E-02,1.97052602E-02,3.15444981E-04,3.31318413E-04,59.4753,7.12197733E+00,2.35622954E-02,2.27355286E-02,9.56440270E-01,7.62291476E-02,7.05484673E-02,1.54963019E-03,1.24767786E-04,1.16955373E-04,13.2498,,,,,,,,,,,C,0.0,8880.0
H1743-322,80146-01-46-00,2.36864495E+00,4.29424718E-02,4.84596938E-02,9.67367411E-01,1.73102468E-01,1.49027169E-01,1.78433035E-03,3.84149927E-04,3.19314277E-04,5.58801,4.67942810E+00,5.79789560E-03,6.04473241E-03,4.37443465E-01,1.56615879E-02,1.77339818E-02,1.38498079E-02,3.10334697E-04,3.55489814E-04,38.9598,9.26048851E+00,3.84734049E-02,3.79387662E-02,1.00144482E+00,1.31313667E-01,1.22411698E-01,8.50911718E-04,9.13507974E-05,8.94108744E-05,9.51687,,,,,,,,,,,C,0.0,3072.0
H1743-322,93427-01-09-00,,,,,,,,,,,3.31207484E-01,3.26830917E-03,2.97984155E-03,2.49420665E-02,8.75429995E-03,7.23704044E-03,1.31451637E-02,2.49266275E-03,2.49377661E-03,5.27119,6.66171134E-01,1.27933677E-02,1.26416739E-02,9.18512568E-02,4.20824625E-02,2.54085343E-02,7.37544196E-03,1.73279189E-03,1.65432564E-03,4.45828,,,,,,,,,,,C,0.0,640.0
H1743-322,93427-01-09-01,,,,,,,,,,,3.78944695E-01,3.41950660E-03,3.39245540E-03,7.01027960E-02,7.80004496E-03,7.10180169E-03,2.39476673E-02,2.33277981E-03,2.18336890E-03,10.9682,7.60835230E-01,1.28235202E-02,1.32917156E-02,1.25748292E-01,3.01546659E-02,3.80084142E-02,4.66571143E-03,1.19804824E-03,1.13729411E-03,4.10247,,,,,,,,,,,C,0.0,3106.6
H1743-322,93427-01-09-03,,,,,,,,,,,4.32525814E-01,4.67628101E-03,4.49201697E-03,5.10731749E-02,5.07527683E-03,4.75351699E-03,1.66004691E-02,1.41959859E-03,1.50110712E-03,11.0588,9.03284311E-01,1.41932368E-02,1.09557658E-02,1.12029344E-01,6.76043406E-02,5.86224571E-02,2.24625389E-03,7.11507746E-04,5.37171087E-04,4.18164,,,,,,,,,,,C,0.0,3168.0
H1743-322,93427-01-10-00,,,,,,,,,,,5.83644032E-01,5.80296107E-03,5.88380685E-03,1.12662308E-01,2.02314425E-02,1.99335329E-02,3.04410923E-02,3.31292069E-03,3.66186025E-03,8.31301,1.20751262E+00,2.57746950E-02,2.72323955E-02,2.74124354E-01,8.97546485E-02,7.43485838E-02,6.00886578E-03,2.00945348E-03,1.94789143E-03,3.08481,,,,,,,,,,,C,0.0,832.0
H1743-322,93427-01-11-01,,,,,,,,,,,1.02596498E+00,4.24401322E-03,4.37295390E-03,1.83054492E-01,1.23190321E-02,1.17058642E-02,2.51474716E-02,1.09133741E-03,1.11148902E-03,22.625,2.10454488E+00,3.68889421E-02,3.47635224E-02,4.17917162E-01,1.66674018E-01,1.17059812E-01,2.41284771E-03,8.17158842E-04,6.35393313E-04,3.79741,,,,,,,,,,,C,0.0,2976.0
H1743-322,93427-01-13-00,,,,,,,,,,,2.60701060E+00,9.58641525E-03,9.49821901E-03,4.50559497E-01,3.44227515E-02,3.06362864E-02,1.59538463E-02,9.33462114E-04,8.51111079E-04,18.7447,5.29780388E+00,2.11260855E-01,2.00425208E-01,1.02949595E+00,7.59008765E-01,4.16041434E-01,1.38707797E-03,1.26259541E-03,6.59296173E-04,2.10388,,,,,,,,,,,C,0.0,3312.0
H1743-322,93427-01-13-02,,,,,,,,,,,2.24292397E+00,1.26906941E-02,1.23165604E-02,3.29419196E-01,4.17198390E-02,3.68282571E-02,1.37490798E-02,1.19364401E-03,1.16743846E-03,11.7771,4.50457335E+00,4.69821431E-02,3.08935288E-02,1.76825657E-01,1.74063534E-01,1.66200623E-01,9.68371984E-04,5.28466888E-04,4.03839804E-04,2.39791,,,,,,,,,,,C,0.0,1745.6
H1743-322,93427-01-13-04,,,,,,,,,,,2.38328147E+00,8.90722871E-03,9.29234829E-03,3.64371926E-01,3.59621644E-02,2.84214281E-02,1.53889004E-02,1.15509867E-03,8.65376729E-04,17.7829,4.81704617E+00,7.72576407E-02,2.58324414E-01,6.02005184E-01,9.98736858E-01,2.52432704E-01,1.91210711E-03,2.10632454E-03,6.15189143E-04,3.10816,,,,,,,,,,,C,0.0,2871.6
H1743-322,94413-01-02-00,,,,,,,,,,,9.09133196E-01,1.88851799E-03,1.79243402E-03,4.42885458E-02,1.04078688E-02,1.18138585E-02,3.39830592E-02,7.17898645E-03,3.94226657E-03,8.62018,1.83425570E+00,6.10432867E-03,7.07299262E-03,1.05082624E-01,2.06764787E-02,2.03997511E-02,5.24392631E-03,6.17101672E-04,6.05415495E-04,8.6617,2.75654554E+00,5.62693849E-02,4.50911447E-02,2.61671156E-01,3.06262493E-01,1.84778452E-01,1.06160145E-03,7.67491292E-04,4.35824913E-04,2.43584,C,0.0,1508.0
