obsid,source,nH,gamma,kT_e,nthcomp_norm,diskbb_Tin,diskbb_norm,red_pgstat
10255-01-03-00,GRO_J1655-40,1.63554,2.54958,1000.00,1.65973,1.24672,1470.90,1291.121971830986
10255-01-05-00,GRO_J1655-40,1.63554,2.03668,1000.00,1.05864,1.42916,842.151,30599.12837837838
10255-01-06-00,GRO_J1655-40,1.63554,1.97303,1000.00,0.894278,1.42392,853.386,13617.693333333333
10255-01-07-00,GRO_J1655-40,1.63554,1.94007,1000.00,0.863335,1.41788,865.223,9369.15894039735
10255-01-08-00,GRO_J1655-40,1.63554,2.24610,11.8233,2.25698,1.29228,1172.52,15494.823218997362
10255-01-09-00,GRO_J1655-40,1.63554,1.97629,1000.00,0.606291,1.66739,423.760,16158.504385964912
10255-01-10-00,GRO_J1655-40,1.63554,1.91869,1000.00,0.862456,1.42440,848.668,6110.844277673546
10255-01-11-00,GRO_J1655-40,1.63554,2.19644,11.3416,1.70410,1.27560,1283.07,3056.218032786885
10255-01-16-00,GRO_J1655-40,1.63554,2.50712,1000.00,2.31306,1.24640,1360.48,2046.9665697674418
10255-01-17-00,GRO_J1655-40,1.63554,1.80052,1000.00,0.347681,1.67640,416.723,6660.768929503916
10255-01-18-00,GRO_J1655-40,1.63554,1.89228,1000.00,0.843910,1.42062,839.757,3572.649289099526
20187-01-01-00,GRO_J1655-40,1.63554,1.91070,1000.00,0.891379,1.42406,824.670,3666.9761388286333
20402-02-25-00,GRO_J1655-40,1.63554,1.80052,1000.00,0.433926,1.67240,396.152,5691.076
20402-02-26-00,GRO_J1655-40,1.63554,1.80052,1000.00,0.385625,1.70582,345.826,5757.775510204082
30171-02-01-00,XTE_J1748-2848,1.63554,1.89565,1000.00,0.779952,1.43194,719.680,2712.6340830449826
30185-01-01-00,XTE_J1748-2848,1.63554,1.80052,1000.00,0.330286,1.76852,279.719,6580.863857374392
30185-01-02-00,XTE_J1748-2848,1.63554,1.80052,1000.00,0.327740,1.76173,276.080,6579.769817073171
30185-01-03-00,XTE_J1748-2848,1.63554,1.92870,1000.00,0.340342,1.82821,218.323,8692.978417266188
30185-01-04-00,XTE_J1748-2848,1.63554,1.80114,10.6468,0.606604,1.43551,591.891,6339.487057220708
30185-01-05-00,XTE_J1748-2848,1.63554,1.82133,1000.00,0.340109,1.73279,248.467,9945.498059508409
30188-05-01-00,ASM_J1748-2848,1.63554,1.80252,10.6366,0.590704,1.43468,558.343,7732.678571428572
30188-06-01-00,XTE_J1550-564,1.63554,1.87115,1000.00,0.424388,1.68567,265.736,9880.775558166863
30188-06-01-01,XTE_J1550-564,1.63554,1.91619,1000.00,0.468426,1.67628,266.881,9719.943820224718
30188-06-01-02,XTE_J1550-564,1.63554,1.85990,1000.00,0.528167,1.59020,332.516,9003.821313240043
30188-06-01-03,XTE_J1550-564,1.63554,1.89775,1000.00,0.576797,1.58180,333.727,8873.75
30188-06-03-00,XTE_J1550-564,1.63554,1.97742,1000.00,0.893838,1.40341,521.088,9359.791459781529
30188-06-04-00,XTE_J1550-564,1.63554,2.23044,28.7502,1.61789,1.28180,671.937,9377.686424474188
30188-06-05-00,XTE_J1550-564,1.63554,2.08858,11.0887,1.34983,1.30467,641.812,9303.244239631336
30188-06-06-00,XTE_J1550-564,1.63554,1.96816,10.0000,1.11715,1.32483,638.997,8575.324733096086
30188-06-07-00,XTE_J1550-564,1.63554,2.20173,21.3835,1.64945,1.28062,655.453,8776.513327601031
30188-06-08-00,XTE_J1550-564,1.63554,2.19583,20.0306,1.66977,1.27927,651.905,8572.866056572379
30188-06-09-00,XTE_J1550-564,1.63554,2.18934,18.8615,1.67933,1.27886,650.008,8315.890410958904
30188-06-10-00,XTE_J1550-564,1.63554,2.17626,17.6373,1.65678,1.28166,643.378,8132.84765625
30188-06-11-00,XTE_J1550-564,1.63554,2.18201,17.5540,1.70205,1.27740,647.668,7853.244882486732
30191-01-01-00,XTE_J1550-564,1.63554,2.20007,18.4802,1.78170,1.26983,661.276,7436.174521354934
30191-01-02-00,XTE_J1550-564,1.63554,2.22550,17.9792,1.99710,1.26847,677.599,5995.082319255547
30191-01-27-00,XTE_J1550-564,1.63554,2.21968,17.4917,1.99176,1.26678,676.801,5965.257660167131
30191-01-27-01,XTE_J1550-564,1.63554,2.22161,17.6373,2.00269,1.26510,677.441,5855.186440677966
30191-01-28-00,XTE_J1550-564,1.63554,2.21643,17.2679,1.98843,1.26592,674.479,5763.678996036988
30191-01-28-01,XTE_J1550-564,1.63554,2.22330,17.8295,2.01397,1.26271,676.895,5669.1049581455245
30191-01-28-02,XTE_J1550-564,1.63554,2.20823,16.7170,1.96919,1.26613,670.002,5617.804648241206
30191-01-29-00,XTE_J1550-564,1.63554,2.21830,17.4523,2.00557,1.26166,674.287,5529.2765174739425
30191-01-29-01,XTE_J1550-564,1.63554,2.21156,16.9967,1.98762,1.26200,670.511,5508.497005988024
30191-01-30-00,XTE_J1550-564,1.63554,2.22637,18.1744,2.04161,1.25524,679.012,5416.720304271504
30191-01-31-00,XTE_J1550-564,1.63554,2.20930,16.8322,1.98858,1.25935,673.204,5345.855263157895
30191-01-31-01,XTE_J1550-564,1.63554,2.23038,18.5157,2.06161,1.25088,684.385,5248.6373810856185
30191-01-32-00,XTE_J1550-564,1.63554,2.22338,17.9020,2.03995,1.25214,684.532,5132.615005476451
30191-01-34-01,XTE_J1550-564,1.63554,2.20811,16.7624,1.98868,1.25606,680.431,5048.235924932976
30191-01-41-00,XTE_J1550-564,1.63554,2.21105,16.9667,1.96025,1.25212,676.176,5312.153361344538
40122-01-01-00,XTE_J1859+226,1.63554,2.20666,16.5857,1.93277,1.25054,678.542,5345.214027849407
40122-01-01-02,XTE_J1859+226,1.63554,2.21309,16.9274,1.94944,1.24631,685.434,5299.893617021276
40122-01-01-03,XTE_J1859+226,1.63554,2.22081,17.4102,1.96892,1.24184,692.028,5268.596316575411
40124-01-04-00,XTE_J1859+226,1.63554,2.21758,17.2300,1.95603,1.24253,688.718,5238.187377690802
40124-01-05-00,XTE_J1859+226,1.63554,2.19650,16.0276,1.87937,1.25108,672.340,5231.887926887927
40124-01-06-00,XTE_J1859+226,1.63554,2.19075,15.6793,1.85503,1.25200,665.709,5289.172185430463
40124-01-07-00,XTE_J1859+226,1.63554,2.19585,15.8348,1.87254,1.24865,669.402,5251.191251744997
40124-01-08-00,XTE_J1859+226,1.63554,2.19150,15.5064,1.85011,1.24828,662.693,5370.869963369963
40124-01-09-00,XTE_J1859+226,1.63554,2.19556,15.6300,1.86090,1.24549,664.182,5365.984677782785
40124-01-10-00,XTE_J1859+226,1.63554,2.17447,14.7798,1.78282,1.25471,646.313,5384.944543034605
40124-01-11-00,XTE_J1859+226,1.63554,2.16298,14.6034,1.73131,1.26148,630.599,5423.265618173875
40124-01-13-00,XTE_J1859+226,1.63554,2.18431,15.0154,1.81196,1.24755,656.232,5311.340361445783
40124-01-14-00,XTE_J1859+226,1.63554,2.16448,14.6972,1.72580,1.25931,632.463,5358.47181008902
40124-01-15-00,XTE_J1859+226,1.63554,2.17847,14.8182,1.78388,1.24921,650.974,5255.545112781955
40124-01-16-00,XTE_J1859+226,1.63554,2.17701,14.7183,1.77526,1.24859,650.250,5249.932070811034
40124-01-17-00,XTE_J1859+226,1.63554,1.91255,10.6617,1.04993,1.33553,580.461,4783.67086038961
40124-01-18-00,XTE_J1859+226,1.63554,2.09564,10.0000,1.63115,1.24376,681.954,5167.947178871548
40124-01-19-00,XTE_J1859+226,1.63554,2.09655,10.0000,1.62839,1.24235,679.978,5206.511444356748
40124-01-20-00,XTE_J1859+226,1.63554,2.18759,11.6481,1.84449,1.22740,683.993,5161.325418450759
40124-01-21-00,XTE_J1859+226,1.63554,2.18650,11.4976,1.83624,1.22639,682.320,5189.556451612903
40124-01-23-00,XTE_J1859+226,1.63554,1.90199,10.6366,1.01144,1.33615,569.399,4802.1921182266005
40124-01-23-01,XTE_J1859+226,1.63554,1.89856,10.6366,1.00294,1.33646,568.576,4773.180628272251
40124-01-24-00,XTE_J1859+226,1.63554,1.90622,10.6366,1.01958,1.33222,573.627,4740.396825396825
40124-01-25-00,XTE_J1859+226,1.63554,1.90655,10.6616,1.01378,1.33456,567.564,4722.170189504373
40124-01-26-00,XTE_J1859+226,1.63554,1.89900,10.6366,0.992395,1.33295,566.538,4833.260165527168
40124-01-27-00,XTE_J1859+226,1.63554,1.89746,10.6366,0.988381,1.33285,566.438,4794.532693674485
40124-01-28-00,XTE_J1859+226,1.63554,2.19265,11.5960,1.82473,1.21845,681.711,5155.394875394875
40124-01-28-01,XTE_J1859+226,1.63554,2.19289,11.5753,1.82345,1.21781,681.597,5127.701109570042
40124-01-29-00,XTE_J1859+226,1.63554,2.19403,11.5382,1.81703,1.21519,681.420,5211.474820143885
40124-01-30-00,XTE_J1859+226,1.63554,2.19430,11.5078,1.81390,1.21414,682.191,5198.325998645904
40124-01-31-00,XTE_J1859+226,1.63554,2.19403,11.4652,1.80987,1.21357,681.433,5186.766477082636
40124-01-36-00,XTE_J1859+226,1.63554,2.10515,10.0000,1.58855,1.22451,676.816,5331.370701058201
40124-01-37-00,XTE_J1859+226,1.63554,2.10629,10.0000,1.58672,1.22257,677.727,5355.196142530239
40124-01-37-01,XTE_J1859+226,1.63554,2.10639,10.0000,1.58428,1.22210,677.482,5329.156431803491
40124-01-37-02,XTE_J1859+226,1.63554,2.10741,10.0000,1.57565,1.21944,678.438,5413.328539469479
40124-01-39-00,XTE_J1859+226,1.63554,2.11010,10.0000,1.56991,1.21520,682.701,5516.798356510746
40124-01-40-00,XTE_J1859+226,1.63554,2.13200,14.1137,1.46769,1.25888,572.283,5726.208190059394
40124-01-40-01,XTE_J1859+226,1.63554,2.11084,10.0000,1.56560,1.21367,683.722,5472.1861471861475
40124-01-41-00,XTE_J1859+226,1.63554,2.11092,10.0000,1.55725,1.21250,683.837,5499.325481798715
40124-01-42-00,XTE_J1859+226,1.63554,2.12949,14.5046,1.42172,1.26422,554.355,5815.602300242131
40124-01-49-01,XTE_J1859+226,1.63554,2.13776,13.5834,1.48115,1.24312,594.701,5758.881401617251
40124-01-61-00,XTE_J1859+226,1.63554,2.11641,10.0000,1.54202,1.20549,682.440,5739.731772377
40401-01-02-00,XTE_J1550-564,1.63554,2.13688,13.3708,1.46298,1.23643,613.594,5708.299150307647
40401-01-48-00,XTE_J1550-564,1.63554,2.13919,13.3361,1.46380,1.22412,664.540,5443.787659327926
40401-01-50-00,XTE_J1550-564,1.63554,2.14617,13.3171,1.48992,1.21630,692.288,5261.004010312231
40401-01-51-00,XTE_J1550-564,1.63554,2.14238,13.3288,1.47662,1.21775,692.373,5182.703966005665
40401-01-51-01,XTE_J1550-564,1.63554,2.12352,13.9505,1.38722,1.23905,642.763,5206.245446903895
40401-01-53-00,XTE_J1550-564,1.63554,2.12349,14.2999,1.37628,1.24433,631.541,5134.085365853659
40401-01-55-00,XTE_J1550-564,1.63554,2.13215,13.5775,1.44220,1.22702,676.941,4935.904853304086
40401-01-56-00,XTE_J1550-564,1.63554,2.12733,13.8667,1.41411,1.23447,658.912,4912.198860553445
40401-01-56-01,XTE_J1550-564,1.63554,2.13863,13.4138,1.47253,1.22051,693.123,4795.15033557047
40401-01-57-00,XTE_J1550-564,1.63554,2.12628,13.9698,1.40762,1.23630,653.689,4828.27444208289
40401-01-58-00,XTE_J1550-564,1.63554,2.12595,13.9634,1.40806,1.23618,654.567,4769.556928740468
