obsid,source,nH,gamma,kT_e,nthcomp_norm,diskbb_Tin,diskbb_norm,red_pgstat
80137-01-25-00,XTE_J1746-319,1.63554,2.14223,13.8470,1.31961,1.19373,586.203,4054.7073725235464
80137-01-26-00,XTE_J1746-319,1.63554,2.05957,12.5833,1.10346,1.23668,514.867,4134.654726496832
80137-01-27-00,XTE_J1746-319,1.63554,2.15422,14.7988,1.34009,1.18988,588.837,4055.7668790628823
80137-01-28-00,XTE_J1746-319,1.63554,2.07041,12.5116,1.12780,1.22888,524.908,4131.075730394669
80137-02-01-00,XTE_J1746-319,1.63554,2.12601,13.1300,1.26423,1.20019,568.424,4103.799987244084
80138-01-02-00G,XTE_J1746-319,1.63554,2.12942,13.1338,1.27254,1.19817,570.848,4095.818412698413
80138-01-03-00G,XTE_J1746-319,1.63554,2.13593,13.4257,1.28688,1.19564,573.740,4085.41811516339
80138-01-04-00G,XTE_J1746-319,1.63554,2.15288,13.3606,1.33368,1.18654,588.692,4062.13377800151
80138-01-05-00G,XTE_J1746-319,1.63554,2.07632,12.3760,1.13734,1.22408,526.919,4116.878406314602
80138-01-06-00,XTE_J1746-319,1.63554,2.12292,12.9019,1.25427,1.20088,563.064,4065.195833853062
80138-01-07-00,XTE_J1746-319,1.63554,2.06714,12.3634,1.11219,1.22974,516.642,4105.253647935424
80144-01-01-00,XTE_J1746-319,1.63554,2.13525,13.2594,1.28328,1.19573,570.783,4027.04253214639
80144-01-01-01,XTE_J1746-319,1.63554,2.12259,12.9369,1.25105,1.20146,561.724,4018.377546623992
80144-01-01-02,XTE_J1746-319,1.63554,2.05712,12.4101,1.08315,1.23696,505.254,4065.340728030396
80144-01-02-00,XTE_J1746-319,1.63554,2.11551,12.7283,1.23147,1.20480,556.967,3988.555738605162
80144-01-02-01,XTE_J1746-319,1.63554,2.14331,13.5766,1.29923,1.19293,575.711,3953.674969623329
80144-01-03-01,XTE_J1746-319,1.63554,2.15978,14.9389,1.33420,1.18786,582.925,3932.187405480612
80146-01-01-00,XTE_J1746-319,1.63554,2.08080,12.4132,1.14164,1.22278,528.283,3971.5600530056618
80146-01-02-00,XTE_J1746-319,1.63554,2.14032,13.3751,1.28890,1.19449,571.746,3921.3871064467767
80146-01-03-00,XTE_J1746-319,1.63554,2.05799,12.3934,1.07839,1.23739,502.486,3994.7951749671565
80146-01-03-01,XTE_J1746-319,1.63554,2.13545,13.1647,1.27406,1.19653,566.896,3912.8227388951655
80146-01-11-00,XTE_J1746-319,1.63554,2.14707,13.6555,1.29840,1.19274,572.337,3893.9187588820464
80146-01-12-00,XTE_J1746-319,1.63554,2.19570,18.3022,1.40495,1.17805,592.537,3861.5130609116104
80146-01-15-00,XTE_J1746-319,1.63554,2.08103,12.3596,1.13203,1.22438,522.391,3917.4051673517324
80146-01-16-00,XTE_J1746-319,1.63554,2.12926,12.9721,1.24845,1.20102,558.842,3870.9104730717504
80146-01-26-00,XTE_J1746-319,1.63554,2.14060,13.1397,1.27652,1.19586,567.494,3845.140344747263
80146-01-27-00,XTE_J1746-319,1.63554,2.12002,12.4514,1.22522,1.20468,554.733,3837.6413617119993
80146-01-29-00,XTE_J1746-319,1.63554,2.13630,13.3728,1.25959,1.19959,561.190,3818.9245697123715
80146-01-30-00,XTE_J1746-319,1.63554,2.09385,12.4029,1.15645,1.21857,530.932,3844.062697727926
80146-01-31-00,XTE_J1746-319,1.63554,2.04892,12.5852,1.03291,1.24971,479.756,3902.1476856095323
80146-01-32-00,XTE_J1746-319,1.63554,2.13563,13.2224,1.25626,1.19951,558.866,3800.5500085582244
80146-01-33-00,XTE_J1746-319,1.63554,2.15193,13.1042,1.30156,1.19056,573.834,3773.7475849528355
80146-01-33-01,XTE_J1746-319,1.63554,2.13932,13.1671,1.26629,1.19737,562.068,3771.1619220103007
80146-01-34-00,XTE_J1746-319,1.63554,2.13530,12.8449,1.25766,1.19834,559.452,3771.1922209695604
80146-01-35-00,XTE_J1746-319,1.63554,2.17938,15.8564,1.35769,1.18301,580.653,3746.0698444781315
80146-01-36-00,XTE_J1746-319,1.63554,2.12513,12.8195,1.23009,1.20347,548.366,3773.736718487865
80146-01-37-00,XTE_J1746-319,1.63554,2.10728,12.3867,1.18763,1.21102,535.480,3784.7802595666462
80146-01-38-00,XTE_J1746-319,1.63554,2.06106,12.2225,1.07010,1.23695,493.962,3828.887039502885
80146-01-39-00,XTE_J1746-319,1.63554,2.04064,12.5675,1.00602,1.25665,460.683,3872.5205857971814
80146-01-40-00,XTE_J1746-319,1.63554,2.12403,12.4347,1.22877,1.20201,545.078,3773.622701750523
80146-01-41-00,XTE_J1746-319,1.63554,2.15097,12.3319,1.30109,1.18775,566.760,3752.8990513790645
80146-01-42-00,XTE_J1746-319,1.63554,2.15509,13.3036,1.30325,1.18852,562.639,3754.743281625519
80146-01-43-00,XTE_J1746-319,1.63554,2.06807,10.0000,1.15970,1.19873,563.103,3748.303498558137
80146-01-43-01,XTE_J1746-319,1.63554,2.11672,12.4529,1.20658,1.20593,534.676,3762.028726287263
80146-01-44-00,XTE_J1746-319,1.63554,2.09407,12.0688,1.15235,1.21617,519.077,3768.684736245343
80146-01-45-00,XTE_J1746-319,1.63554,2.12291,12.5202,1.22056,1.20290,537.404,3748.686531841652
80146-01-46-00,XTE_J1746-319,1.63554,2.14059,12.4528,1.26768,1.19333,552.269,3726.306060118952
80146-01-47-00,XTE_J1746-319,1.63554,2.14808,12.9665,1.28237,1.19117,554.265,3717.5862068965516
80146-01-48-00,XTE_J1746-319,1.63554,2.19201,16.3758,1.38086,1.17648,575.437,3683.8234512097847
80146-01-49-00,XTE_J1746-319,1.63554,2.13229,12.3369,1.24223,1.19803,545.083,3693.1961220597586
80146-01-50-00,XTE_J1746-319,1.63554,2.06089,12.1279,1.06107,1.23768,484.704,3735.9956721380695
80146-01-51-00,XTE_J1746-319,1.63554,2.10143,12.1852,1.16206,1.21431,520.270,3685.1845619939004
80146-01-51-01,XTE_J1746-319,1.63554,2.09573,12.1544,1.14667,1.21726,516.049,3677.4749855937976
80146-01-52-00,XTE_J1746-319,1.63554,2.11449,12.3037,1.19057,1.20818,530.272,3649.9076200417535
80146-01-52-01,XTE_J1746-319,1.63554,2.13465,12.4326,1.23932,1.19836,545.926,3624.0179917840987
80146-01-53-00,XTE_J1746-319,1.63554,2.04491,12.4137,1.00482,1.25337,461.011,3704.168479950264
80146-01-53-01,XTE_J1746-319,1.63554,2.19513,16.3407,1.37741,1.17666,577.610,3571.9181334847467
80146-01-54-00,XTE_J1746-319,1.63554,2.13873,11.9546,1.25089,1.19483,552.982,3581.1597407940753
80146-01-55-00,XTE_J1746-319,1.63554,2.14377,12.6485,1.25557,1.19488,552.104,3570.694337688957
80146-01-56-00,XTE_J1746-319,1.63554,2.20679,17.9688,1.39345,1.17491,579.651,3535.974165220055
80146-01-58-00,XTE_J1746-319,1.63554,2.08561,12.0948,1.10899,1.22328,509.422,3589.4017398382257
80146-01-59-00,XTE_J1746-319,1.63554,2.07083,12.0985,1.07025,1.23198,496.428,3592.3357664233577
80146-01-60-00,XTE_J1746-319,1.63554,2.13755,12.5048,1.23034,1.19814,548.892,3531.633920905096
80146-01-62-00,XTE_J1746-319,1.63554,2.09882,12.1934,1.13396,1.21701,519.916,3547.2606945143434
80146-01-65-00,XTE_J1746-319,1.63554,2.12460,11.9143,1.20020,1.20243,543.536,3515.0759741236648
80146-01-66-00,XTE_J1746-319,1.63554,2.04097,12.9115,0.961249,1.26709,440.000,3624.2614431341194
80146-01-67-00,XTE_J1746-319,1.63554,2.05873,12.2083,1.02901,1.24101,483.222,3558.10536274461
80146-01-68-00,XTE_J1746-319,1.63554,2.14787,12.0252,1.25355,1.19149,561.155,3474.0006946511858
80146-01-69-00,XTE_J1746-319,1.63554,2.13944,12.8512,1.22252,1.19863,548.271,3475.642027194067
80417-01-01-00,4U_1630-47,1.63554,2.05002,12.4283,0.998729,1.25135,465.528,3546.4465904611748
90058-11-03-00,XTE_J1829-098,1.63554,2.05169,12.3379,1.00427,1.24868,469.327,3538.809839446163
90058-16-05-00,GRO_J1655-40,1.63554,2.15086,12.6623,1.25093,1.19282,554.667,3455.7713195361807
90058-16-07-00,GRO_J1655-40,1.63554,2.07875,12.0684,1.07436,1.22811,500.021,3503.006191799522
90110-02-01-00,GX_339-4,1.63554,2.14233,12.4274,1.22324,1.19617,546.100,3481.597998250899
90110-02-01-02,GX_339-4,1.63554,2.12988,11.9062,1.19368,1.20040,539.185,3490.4972643199535
90110-02-01-03,GX_339-4,1.63554,2.08364,12.0100,1.07832,1.22458,501.545,3520.4380970761363
90428-01-01-01,GRO_J1655-40,1.63554,2.07308,10.0000,1.11657,1.20019,552.020,3482.4959130685643
90428-01-01-02,GRO_J1655-40,1.63554,2.13910,12.5181,1.20063,1.19799,537.028,3514.6823191183516
90428-01-01-03,GRO_J1655-40,1.63554,2.07498,10.0000,1.11568,1.19862,551.047,3502.3397956260146
90428-01-01-04,GRO_J1655-40,1.63554,2.12573,12.1114,1.16332,1.20311,525.869,3546.3866945845625
90428-01-01-09,GRO_J1655-40,1.63554,2.14619,12.5858,1.20364,1.19457,535.066,3563.607132694679
90428-01-01-10,GRO_J1655-40,1.63554,2.12436,11.9120,1.15086,1.20292,520.874,3593.4696096039324
90704-01-01-00,GX_339-4,1.63554,1.89703,10.6366,0.727845,1.26996,494.172,3324.218757360215
90704-01-02-00,GX_339-4,1.63554,2.11717,12.2006,1.12766,1.20751,511.746,3599.0661971830987
90704-01-11-00,GX339-4,1.63554,1.91141,12.6570,0.556406,1.44244,281.083,3309.485331960885
90704-04-01-00,GRO_J1655-40,1.63554,2.23012,21.0341,1.36466,1.16971,560.048,3554.370715784565
90704-04-01-01,GRO_J1655-40,1.63554,2.08775,11.9551,1.05829,1.22077,489.810,3617.962076497653
91050-06-01-00,H_1743-322,1.63554,2.13848,11.7927,1.17894,1.19478,527.971,3577.3852424845986
91094-01-01-00,SWIFT_J1753.5-0127,1.63554,2.16339,13.4015,1.22841,1.18719,537.198,3561.6652047458565
91094-01-01-01,SWIFT_J1753.5-0127,1.63554,2.10813,11.9179,1.10461,1.20987,504.383,3584.1466893664015
91094-01-01-02,SWIFT_J1753.5-0127,1.63554,2.16694,1000.00,1.08776,1.22794,515.675,3289.7344645723456
91094-01-01-03,SWIFT_J1753.5-0127,1.63554,2.08502,10.0000,1.12622,1.18731,554.755,3534.796818576587
91094-01-01-04,SWIFT_J1753.5-0127,1.63554,2.30060,50.7108,1.48299,1.15607,614.824,3252.073898583079
91094-01-02-00,SWIFT_J1753.5-0127,1.63554,2.11701,11.7450,1.12482,1.20307,509.510,3588.9469143090687
