full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360226_8,58321.825,10.87,96.4,149.89787999948,0.2,64908.2,1.90919,0.0586202,141.96,1.0673684210526315,0.2,57666.0,1.9037,0.058011,0.4362898962612966,45.34424628451733,1766,1766,0.2656794300582067,
1130360215_0,58308.5636111,2.252,69.5,318.876897900336,0.2,26362.7,1.69199,0.00751619,136.71,1.068046875,0.2,26363.0,1.692,0.0075162,0.4749749341953813,5.214371647503638,871,871,0.6481302132324742,
1130360234_1,58334.5292361,5.202,91.8,653.773781390511,0.2,26088.8,1.88309,0.0266474,180.02,1.0715476190476192,0.2,26089.0,1.8831,0.026647,0.4510308998637353,21.381490454891043,3852,3852,0.2890831901732174,
1130360284_1,58505.1463657,1.531,69.9,1092.96303991042,0.300349,312.002,1.91663,0.00801321,184.6,1.07953216374269,0.30029,313.27,1.917,0.0080189,0.4497491478235397,6.507097062482085,2374,2374,0.3944141685503928,
2130360205_0,58588.6875926,0.8351,36.1,611.772458395106,0.321857,239.726,1.19365,0.00122027,185.25,1.0833333333333333,0.32174,172.32,1.1937,0.0011926,0.5760676589480255,2.874623932258442,1196,1196,1.0428626201642583,
1130360226_6,58321.6921875,10.79,95.4,496.701551512873,0.2,55449.2,1.78799,0.0487077,194.23,1.0850837988826816,0.2,55022.0,1.7841,0.048444,0.4835105096144956,38.204071440503775,5862,5862,0.3172194646637239,
1130360256_1,58371.3863079,2.085,69.7,122.779706997913,0.454307,93.7367,1.19935,0.0029728,67.38,1.086774193548387,0.45436,93.679,1.199,0.0027624,0.4634553423434922,6.347988544077838,364,364,0.5543503457262515,
1130360192_0,58278.7163194,2.694,73.3,1349.52034500166,0.2,26958.8,1.99627,0.014267,208.98,1.0884375,0.2,26400.0,2.0361,0.015014,0.4107151296663147,6.194862309709763,4395,4395,0.6269102954806857,
1130360244_4,58350.5493056,1.366,64.7,282.901006603963,0.2,7899.39,1.19514,0.00248474,107.82,1.089090909090909,0.2,7971.1,1.1937,0.002173,0.7263674238277594,5.138332350727766,523,523,0.4467266175795525,
1130360234_2,58334.5946296,5.19,92.2,563.804743206943,0.2,28052.7,1.92285,0.0274706,186.58,1.097529411764706,0.2,28053.0,1.9228,0.027471,0.4427675046862271,22.3271543958443,3228,3228,0.2684552415080013,
1130360243_0,58349.9109259,1.366,49.5,395.859895205009,0.329789,247.514,1.19365,0.00235043,161.44,1.1057534246575342,0.32983,246.4,1.1937,0.0020139,0.6696196483252957,3.7594346723833727,895,895,0.8193348222532848,
1130360211_0,58304.2501157,11.0,90.5,176.854736096284,0.2,130321.0,2.0056,0.0620031,164.88,1.1065771812080536,0.2,95965.0,1.9843,0.059575,0.428578478774601,17.50904213768276,2085,2085,0.7141139036027722,
1130360218_0,58311.8530556,1.224,76.1,775.741902399575,0.233916,3780.95,1.52516,0.00356797,154.83,1.1138848920863311,0.23454,3675.7,1.5214,0.0035417,0.5574945499950152,7.309976220437885,1161,1161,0.2371850143442086,
1130360199_1,58287.325463,9.549,91.7,679.767100007739,0.252003,9362.12,1.68074,0.0358535,214.3,1.1161458333333334,0.25145,9593.8,1.6827,0.036021,0.5103568402200234,21.42574976015733,7333,7333,0.528133281811438,
