ids,net_count_rates,source_percents,hardness_ratios,mjds,tins,diskbb_norms,gammas,nthcomp_norms,red_pgs
1130360176_1,-1.645,-107.2,1.949297794269883,58247.2195602,0.200003,0.351787,3.64758,6.62829e-08,7.265384615384616
1130360106_0,7630.0,100.0,0.2966512908416439,58029.7490278,0.2,7079890.0,2.66031,103.308,212.84109452736317
1130360177_0,-12.47,-273.1,1.2952613946047404,58250.115787,0.2,0.106326,3.64758,3.39075e-08,30.584060913705585
1050360108_9,5521.0,99.9,0.36976435289518006,58012.5818866,0.2,20137300.0,2.25923,45.5877,4.575870646766169
1130360110_0,7030.0,100.0,0.28692498615757545,58033.0298032,0.2,5931830.0,2.71509,101.075,198.52273631840796
1130360226_4,10.23,95.1,0.5276032820476563,58321.4990972,0.2,54554.0,1.66997,0.0393616,1.0336871508379888
1050360116_1,10500.0,100.0,0.2969717555087339,58020.1160069,0.2,1636070.0,2.68623,147.974,245.23154228855722
1050360117_2,10150.0,100.0,0.2738911693039397,58021.153831,0.302882,0.1,2.86375,132.226,59.450447761194035
1130360184_4,74.98,99.5,0.06104673262224931,58266.2303013,0.287469,159118.0,4.0,0.993229,1.6827692307692308
1050360106_4,4480.0,99.9,0.3909724798872425,58010.2570023,0.2,18833600.0,2.15798,32.5024,26.1181592039801
1130360240_0,-0.3,-9.0,-0.39342584858141477,58340.5793056,0.546991,0.1,3.64758,0.006082,4.1732338308457715
1050360110_6,8386.0,100.0,0.3301605942863663,58014.8266667,0.2,14584800.0,2.47964,91.9482,41.29965174129353
1130360164_2,1.944,39.6,-0.06038541058506564,58230.7482523,0.2,152699.0,3.94342,0.00726092,2.018734939759036
1050360108_1,5614.0,99.6,0.3645668634361113,58012.2512153,0.2,19594000.0,2.28248,47.7524,25.979601990049748
2130360207_3,0.7076,60.7,0.37552959038914224,58596.2182176,0.2,1869.55,2.5063,0.00921771,1.5004347826086957
1130360183_0,90.16,96.7,0.034881191486709276,58261.1082407,0.324732,102967.0,3.64758,0.455679,3.6068589743589743
1130360220_0,-5.444,-22.6,1.604149739588815,58314.5397917,2.5,0.1,3.64758,4.912e-08,3.458407960199005
1130360194_0,-2.4,-57.1,2.5085904220070576,58280.4585417,0.200023,0.105509,3.64758,6.52675e-07,8.851492537313433
1050360105_2,4766.0,99.9,0.3502847335750467,58009.0391088,0.2,16594000.0,2.35704,45.1946,8.701393034825871
1130360214_0,2.674,71.8,0.4896729918913078,58307.5973264,0.358024,636.446,1.16457,0.0035003,0.9577011494252873
1130360176_4,0.3922,11.1,1.2585494341251109,58247.4130324,0.254139,449.16,1.1,0.000745166,0.9439690721649484
1130360190_1,5.344,40.3,0.35001073867844124,58276.083588,0.206764,24842.3,2.10789,0.0433142,2.8923383084577114
1130360158_1,30.46,97.9,0.03509446905357826,58218.7151042,0.274074,134188.0,4.0,0.18016,2.4885567010309275
1130360131_8,1209.0,100.0,0.11270011199284125,58137.9512963,0.469645,59356.8,3.64758,7.76723,123.37740740740742
1050360119_1,9549.0,100.0,0.2614498784551704,58023.2664583,0.33844,0.1,2.97799,122.339,484.8041791044776
1130360166_2,9.881,40.2,2.172884853857342,58233.5829514,0.2,114355.0,1.1,0.00954147,2.757860696517413
1130360157_5,48.01,99.1,0.01952619804839647,58215.8219907,0.304441,101391.0,3.64758,0.152493,10.419770992366413
1130360153_0,91.94,99.6,0.029067256056940133,58211.0583102,0.335828,87754.6,3.64758,0.340249,9.994307692307693
1130360276_0,3.045,88.6,0.5491724152912016,58398.7387269,0.299926,899.845,1.38032,0.0073133,0.9972881355932204
1130360234_2,5.19,92.2,0.4427675046862271,58334.5946296,0.2,28052.7,1.92285,0.0274706,1.0975294117647059
1130360249_1,9.676,55.5,0.6861255111562508,58356.4187153,0.444109,146.755,1.1,0.017796,2.636010101010101
1130360219_0,1.171,73.5,0.4830761983207758,58313.5863079,0.2,7885.89,1.87943,0.00582664,0.9691558441558441
