obsid,object,instrument,resp_file,obs_date,obs_time,time_start,source_percent,spectral_file,bg_file,background_count_rate,bg_source_ratio,exposure_time,net_source_count
30191-01-27-00,XTE_J1550-564,PCA,xp30191012700.rsp,10/10/98,13:41:36,150644443.378431,99.05896638207793,xp30191012700_s2.pha,xp30191012700_b2.pha,147.93236553928776,106.26612917486806,3599.99999999943,55527606.48405865
30191-01-27-01,XTE_J1550-564,PCA,xp30191012701.rsp,09/10/98,14:37:04,150561363.378431,99.02751973267702,xp30191012701_s2.pha,xp30191012701_b2.pha,142.99242876142958,102.82984998274392,1151.99999999999,16609426.722066835
30191-01-28-00,XTE_J1550-564,PCA,xp30191012800.rsp,11/10/98,19:24:32,150751411.378431,98.92577242975055,xp30191012800_s2.pha,xp30191012800_b2.pha,141.78925166165737,93.09014474165734,960.000000000002,12398979.318404809
30191-01-28-01,XTE_J1550-564,PCA,xp30191012801.rsp,11/10/98,13:38:40,150730662.378431,98.94663631866496,xp30191012801_s2.pha,xp30191012801_b2.pha,148.40194072164934,94.93397368063773,1311.99999999995,18094555.653773203
30191-01-28-02,XTE_J1550-564,PCA,xp30191012802.rsp,12/10/98,06:33:20,150791762.378431,99.02827948795412,xp30191012802_s2.pha,xp30191012802_b2.pha,137.78642255230451,102.91024915122861,1631.99999999988,22691429.558394656
30191-01-29-00,XTE_J1550-564,PCA,xp30191012900.rsp,13/10/98,04:59:44,150872327.378431,98.97607907526317,xp30191012900_s2.pha,xp30191012900_b2.pha,140.40156680024518,97.66379178714647,1375.99999999994,18481532.44408287
30191-01-29-01,XTE_J1550-564,PCA,xp30191012901.rsp,13/10/98,14:35:44,150906883.378431,98.92798768318191,xp30191012901_s2.pha,xp30191012901_b2.pha,144.80265628832794,93.28251031370291,2287.99999999973,30242669.522412345
30191-01-30-00,XTE_J1550-564,PCA,xp30191013000.rsp,14/10/98,06:35:44,150964483.378431,99.11959141238475,xp30191013000_s2.pha,xp30191013000_b2.pha,112.75504568755916,113.58362629204859,2927.99999999965,36838974.226226866
30191-01-31-00,XTE_J1550-564,PCA,xp30191013100.rsp,15/10/98,14:34:40,151079620.378431,99.08424086241548,xp30191013100_s2.pha,xp30191013100_b2.pha,143.65312357113183,109.19901958474433,1407.99999999993,21682459.402011856
30191-01-31-01,XTE_J1550-564,PCA,xp30191013101.rsp,15/10/98,22:34:56,151108435.378431,98.9675971324344,xp30191013101_s2.pha,xp30191013101_b2.pha,159.33040318295463,96.86141247921928,1999.9999999998,30228614.193634123
