Frequency,Norm,redchi,width
2.8933674674053647,8.26239e-05,7.86156862745098,0.314607
2.9255091391493653,0.000103527,7.8617647058823525,0.316862
2.9580078644215257,8.27592e-05,7.861862745098039,0.314343
2.9908676096372515,6.83991e-05,7.861911764705882,0.316728
3.024092385273832,5.80343e-05,7.862009803921568,0.324291
3.057686246359914,2.75909e-05,7.862009803921568,0.330472
3.0916532929704084,1.62967e-05,7.862058823529411,0.327345
3.1259976707269,5.34004e-06,7.862107843137254,0.341478
3.1607235713036137,0.0,7.862107843137254,0.316072
3.195835232938998,0.0,7.862107843137254,0.319584
3.2313369409529997,6.03825e-06,7.862107843137254,0.339857
3.267233028270078,2.59859e-05,7.862009803921568,0.350705
3.3035278759480278,9.43823e-05,7.861813725490196,0.362165
3.3402259137126866,0.000128988,7.861274509803922,0.35677
3.377331620498571,0.000156945,7.860294117647059,0.307111
3.4148495249955215,0.000187304,7.858823529411765,0.307927
3.452784206201428,0.000212997,7.857696078431372,0.31078
3.4911402939810827,0.000212198,7.8575,0.314228
3.52992246963125,0.000181773,7.858284313725489,0.317729
3.5691354664520105,0.000134684,7.859705882352942,0.321618
3.608784070324455,7.97823e-05,7.861176470588235,0.328858
3.6488731202947875,5.53516e-05,7.861911764705882,0.401197
3.6894075091649277,0.0,7.862107843137254,0.368941
3.73039218408967,0.0,7.862107843137254,0.373039
3.771832147180468,0.0,7.862107843137254,0.377183
3.8137324561159454,0.0,7.862107843137254,0.381373
3.856098224759168,0.0,7.862107843137254,0.38561
3.898934623781784,1.95628e-06,7.862107843137254,0.422318
3.9422468812951004,1.86101e-05,7.862058823529411,0.372566
3.9860402834881605,2.76653e-05,7.861911764705882,0.365336
4.030320175272916,3.42151e-05,7.861813725490196,0.368448
4.075091960936564,3.63218e-05,7.861813725490196,0.372499
4.120361104801134,3.75009e-05,7.861911764705882,0.390174
4.166133131890395,3.69453e-05,7.861960784313725,0.437945
4.21241362860418,3.37483e-05,7.862009803921568,0.462672
4.259208243400194,3.13004e-05,7.862058823529411,0.454007
4.3065226874833975,3.05496e-05,7.862009803921568,0.471025
4.354362735503053,2.94596e-05,7.862009803921568,0.410262
4.402734226257512,2.77664e-05,7.861960784313725,0.408859
4.451643063406824,2.70517e-05,7.861960784313725,0.405257
4.501095216193276,3.84166e-05,7.861911764705882,0.418694
4.551096720169926,3.63762e-05,7.861911764705882,0.432284
4.601653677937228,3.03167e-05,7.861911764705882,0.414555
