full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,nthcomp_fit_stat,nthcomp_reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360106_2,0.159913,1.25354E+08,2.22929,3.72381E-02,3854.00,19.17412935323383,58010.1285301,4498.0,99.9,824.607958141714,0.2,18633700.0,2.18986,33.9382,5159.58,25.669552238805966,,,,,0.3840705315608478,3544.029441546567,4041021,4041021,1.3831485454273909,
1050360106_3,0.162271,1.11735E+08,2.20071,3.72204E-02,4301.27,21.399353233830848,58010.1926505,4471.0,99.9,884.2376269595699,0.2,18883700.0,2.1644,32.6759,5538.91,27.55676616915423,,,,,0.3891987098783376,2281.484427987221,4304840,4304840,2.1348182750360647,
1050360106_4,0.161871,1.13938E+08,2.19401,3.65725E-02,4028.37,20.041641791044775,58010.2570023,4480.0,99.9,844.464641860686,0.2,18833600.0,2.15798,32.5024,5249.75,26.118159203980102,,,,,0.3909724798872425,1898.702773422823,4122163,4122163,2.572263755448008,
1050360106_5,0.162132,1.11684E+08,2.18425,3.59529E-02,4121.02,20.502587064676618,58010.321354199994,4418.0,99.9,844.507092183921,0.2,18775000.0,2.1475,31.6265,5299.74,26.36686567164179,,,,,0.3936950618370756,1370.4831238466352,4062235,4062235,3.5124088096404282,
1050360106_6,0.163317,1.04805E+08,2.21473,3.96840E-02,4486.99,22.32333333333333,58010.3856944,4489.0,99.9,885.229600146413,0.2,18746400.0,2.17834,33.3865,5605.07,27.885920398009947,,,,,0.3869022038496289,1728.293997522968,4328312,4328312,2.8307164423337703,
1050360106_7,0.159142,1.31403E+08,2.26004,3.96908E-02,854.24,4.249950248756219,58010.45004630001,4674.0,100.0,143.198064029217,0.2,18688800.0,2.21885,36.5891,1079.91,5.37268656716418,,,,,0.3785834717808305,4120.7372222834865,730226,730226,1.2378004326524048,
1050360106_8,0.157901,1.40489E+08,2.25669,3.84071E-02,1584.57,7.883432835820895,58010.4567477,4699.0,99.9,309.29758607083903,0.2,18565700.0,2.2168799999999997,36.7264,2122.07,10.557562189054726,,,,,0.3785994634228202,2614.591895100389,1587223,1587223,1.963467164460136,
1050360106_9,0.156881,1.51469E+08,2.25834,3.71971E-02,1177.19,5.856666666666667,58010.52158559999,4761.0,99.9,236.680289980955,0.2,18849400.0,2.22011,37.3526,1628.9,8.103980099502488,,,,,0.3778407191352816,1272.7228126789205,1231243,1231243,4.0906207762435285,
1050360107_0,0.154428,1.83676E+08,2.27321,3.63604E-02,3682.05,18.318656716417912,58011.86532409999,5139.0,99.9,871.743261994328,0.2,19825300.0,2.23006,40.8615,5715.78,28.436716417910446,,,,,0.3750828584484685,3073.246419755771,4898182,4898182,1.828901314147824,
1050360107_1,0.156735,1.61475E+08,2.27367,3.96323E-02,3876.42,19.285671641791044,58011.929699099994,5241.0,99.9,882.612504120916,0.2,19928200.0,2.23355,41.8748,5657.85,28.14850746268657,,,,,0.3745997539740281,2888.282493424949,5060923,5060923,1.985959448135609,
1050360108_4,0.144620,3.28594E+08,2.38258,3.78014E-02,327.32,1.628457711442786,58012.3799306,5936.0,100.0,65.5480979857966,0.2,19021500.0,2.33704,54.0517,561.33,2.7926865671641794,0.2,19022000.0,2.337,54.052,0.35322159283321164,6904.769052992639,427691,427691,0.9451130553414916,
1050360108_5,0.147649,2.64442E+08,2.36917,4.15671E-02,352.47,1.753582089552239,58012.3845255,5884.0,99.9,77.4829380037263,0.2,18681600.0,2.32554,52.901,595.32,2.9617910447761195,0.2,18682000.0,2.3255,52.901,0.3559887139609719,2377.659088589368,501687,501687,2.7243310308280977,
1050360108_8,0.151905,2.21314E+08,2.30577,3.71781E-02,1210.73,6.023532338308458,58012.515625,5575.0,99.9,282.194611940533,0.2,20354600.0,2.2679,46.5128,1980.64,9.853930348258707,,,,,0.3681536402478104,1513.4976556870745,1724739,1724739,4.040917242893669,
1050360108_9,0.152782,2.06454E+08,2.30146,3.82408E-02,623.21,3.1005472636815923,58012.5818866,5521.0,99.9,118.25172800989799,0.2,20137300.0,2.25923,45.5877,919.75,4.575870646766169,,,,,0.3697643528951801,1936.1998496982949,715756,715756,3.1277474585156884,
