full_ids,mjd,net_source_count_rate,source_percent,source_exposure_time,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,fit_stat,reduced_fit_stat,tin_after_error,diskbb_norm_after_error,gamma_after_error,nthcomp_norm_after_error,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1130360109_1,58032.3931085,7.788e+03,99.8,207.931904363515,0.200000,0.100000,2.79994,124.055,9484.10,47.18457711442786,,,,,0.27333427047317443,546.5404379801822,1822899,1822899,16.069950075693804,
1130360109_2,58032.3993056,7.691e+03,100.0,978.743699574843,0.200000,0.100000,2.80089,122.593,44687.22,222.3244776119403,,,,,0.274871992865077,12059.308000247047,8460665,8460665,0.7168844289560699,
1130360109_5,58032.8377083,7.687e+03,100.0,1972.65600079671,0.200000,2.26447E+06,2.74062,114.500,69162.44,344.0917412935323,,,,,0.2850302726434773,9453.03366549108,17005097,17005097,0.9120160805604285,
1130360110_0,58033.0298032,7.030e+03,100.0,2027.92150084861,0.200000,5.93183E+06,2.71509,101.075,39903.07,198.52273631840796,,,,,0.28692498615757545,3138.504233320212,15963931,15963931,2.5090214935259176,
1130360110_1,58033.2239005,6.756e+03,100.0,1937.3039401453,0.200000,8.71621E+06,2.66234,91.1747,25911.91,128.91497512437812,,,,,0.29495526379640885,3096.4394375879183,14617058,14617058,2.437473467777511,
1130360110_2,58033.4175,7.201e+03,99.6,104.824459983036,0.200000,2.88273E+06,2.77684,111.301,3451.95,17.173880597014925,,,,,0.2770248125646424,338.5514821692932,850197,850197,24.027960821221836,
1130360110_3,58033.4296644,7.273e+03,100.0,834.479679822922,0.200000,2.21435E+06,2.78823,113.878,26086.15,129.7818407960199,,,,,0.2757695858994156,12942.212202081313,6809839,6809839,0.6305886070442283,
1130360110_4,58033.6112153,7.448e+03,99.9,652.812600284815,0.200000,8.24359E+05,2.79859,118.247,26679.53,132.73398009950247,,,,,0.2752754395679975,1221.5356711458787,5462241,5462241,6.855385046686804,
1130360110_5,58033.6272338,7.445e+03,100.0,432.026939982548,0.200000,0.100000,2.81835,120.843,19142.19,95.23477611940298,,,,,0.27163859229116694,16606.2054363001,3614715,3614715,0.5038705542189498,
1130360110_6,58033.8054051,7.476e+03,100.0,1686.89280068129,0.200000,0.100000,2.82235,121.864,73773.65,367.0330845771144,,,,,0.2711933276540498,12834.813521195036,14168292,14168292,0.6544467110575325,
