observation_ID,MJD
1130360157_3,58215.7538194
1130360157_4,58215.7551852
1130360157_5,58215.8219907
1130360158_2,58218.84383099999
1130360158_3,58218.9725579
1130360160_0,58220.7744097
1130360160_1,58220.9030787
1130360160_2,58220.967708300006
1130360161_0,58224.6328588
1130360181_0,58259.2336227
1130360181_2,58259.74888890001
1130360181_3,58259.8780556
1130360181_5,58259.94263890001
1130360181_6,58259.9476157
1130360182_0,58260.07473380001
1130360182_1,58260.13879630001
1130360182_2,58260.14312459999
1130360182_3,58260.1444002
1130360182_4,58260.2655556
1130360182_9,58260.9177778
1130360183_0,58261.10824069999
1130360183_1,58261.1104282
1130360183_2,58261.17375
1130360183_3,58261.23973380001
1130360183_4,58261.3057292
1130360183_6,58261.4320023
1130360183_7,58261.4968287
1130360183_8,58261.56466440001
1130360184_0,58266.1646412
1130360184_10,58266.3568634
1130360184_11,58266.3579977
1130360184_12,58266.421331
1130360184_13,58266.4866204
1130360184_14,58266.5509606
1130360184_15,58266.61533559999
1130360184_16,58266.6796991
1130360184_17,58266.93707180001
1130360184_3,58266.2291204
1130360184_4,58266.2303013
1130360184_7,58266.2934244
1130360184_9,58266.29460650001
1130360185_0,58267.0659954
1130360185_1,58267.194456
1130360185_2,58267.3867361
1130360186_0,58270.92607640001
1130360186_1,58270.9313657
1130360187_0,58270.9903704
1130360188_0,58273.75883099999
1130360199_1,58287.325463
1130360199_2,58287.8375694
1130360201_0,58288.738287
1130360202_0,58288.9965278
1130360203_0,58290.217662
1130360203_1,58290.284213
1130360203_2,58290.346296300006
1130360204_0,58292.60013890001
1130360205_0,58296.200706
1130360205_1,58296.20503790001
1130360205_2,58296.26510419999
1130360206_0,58297.680625
1130360206_1,58297.68810190001
1130360207_0,58300.1898727
1130360207_1,58300.1924306
1130360208_0,58301.1579745
1130360209_0,58302.0612847
1130360226_3,58321.4347222
1130360226_4,58321.4990972
1130360226_5,58321.62776619999
1130360226_6,58321.6921875
1130360227_0,58322.0135995
1130360227_1,58322.7264236
1130360228_1,58324.25564809999
1130360228_4,58324.8457639
1130360229_1,58325.4824421
1130360229_2,58325.5495949
1130360230_0,58326.6445486
1130360230_2,58326.777037
1130360231_0,58327.1526852
1130360231_1,58327.7968287
1130360231_2,58327.8033449
1130360231_3,58327.86177080001
1130360232_0,58328.4435185
1130360232_2,58328.5097801
1130360248_0,58355.44675930001
