ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number
92428-01-04-02,GX 339-4,C,low,4.126,8.0,21.9,23.3,"(0.01, 0.01)","(0.5, 0.5)","(0.5, 0.5)",103
92428-01-04-03,GX 339-4,C,low,4.984,8.2,16.9,18.8,"(0.011, 0.011)","(0.8, 0.9)","(0.8, 0.8)",104
92704-03-11-01,GX 339-4,C,low,0.655,6.5,29.1,29.1,"(0.031, 0.031)","(0.6, 0.6)","(0.6, 0.6)",105
92704-03-12-01,GX 339-4,C,low,2.715,5.4,32.1,32.6,"(0.041, 0.042)","(1.4, 1.5)","(1.4, 1.4)",106
95409-01-13-01,GX 339-4,C,low,0.378,11.6,35.8,37.6,"(0.004, 0.004)","(1.9, 2.3)","(1.8, 2.3)",107
95409-01-13-02,GX 339-4,C,low,0.321,12.0,40.9,42.6,"(0.004, 0.004)","(1.0, 1.0)","(1.0, 1.0)",108
95409-01-13-03,GX 339-4,C,low,0.226,10.8,41.0,42.4,"(0.002, 0.002)","(1.9, 1.0)","(1.9, 1.0)",109
95409-01-13-04,GX 339-4,C,low,0.29,9.5,41.9,43.0,"(0.002, 0.002)","(3.5, 3.5)","(3.4, 3.4)",110
95409-01-13-05,GX 339-4,C,low,0.396,16.3,36.3,36.3,"(0.009, 0.01)","(0.6, 0.6)","(0.6, 0.6)",111
95409-01-13-06,GX 339-4,C,low,0.448,11.0,32.6,34.4,"(0.005, 0.005)","(1.3, 1.4)","(1.3, 1.4)",112
95409-01-14-01,GX 339-4,C,low,1.058,10.9,30.9,32.8,"(0.007, 0.007)","(1.3, 1.4)","(1.3, 1.4)",113
95409-01-14-02,GX 339-4,C,low,2.494,9.0,25.6,27.1,"(0.007, 0.007)","(0.9, 1.0)","(0.9, 1.0)",114
95409-01-14-03,GX 339-4,C,low,3.155,7.8,25.7,26.8,"(0.01, 0.01)","(2.7, 2.9)","(2.6, 2.8)",115
95409-01-14-04,GX 339-4,C,low,2.375,8.7,23.1,24.7,"(0.006, 0.006)","(1.0, 1.0)","(0.9, 0.9)",116
95409-01-14-05,GX 339-4,C,low,3.64,8.1,21.1,22.6,"(0.007, 0.008)","(0.8, 0.8)","(0.8, 0.8)",117
95409-01-14-06,GX 339-4,C,low,2.424,8.2,23.2,24.6,"(0.003, 0.003)","(1.6, 0.9)","(1.5, 0.9)",118
95409-01-14-07,GX 339-4,C,low,2.92,8.4,21.3,23.9,"(0.003, 0.003)","(1.0, 1.0)","(0.9, 0.9)",119
95409-01-15-00,GX 339-4,C,low,4.153,7.8,20.2,21.6,"(0.014, 0.014)","(0.7, 0.4)","(0.7, 0.4)",120
95409-01-15-01,GX 339-4,C,low,5.653,7.1,15.3,16.9,"(0.015, 0.015)","(1.1, 1.3)","(1.0, 1.2)",121
95409-01-17-02,GX 339-4,C,low,6.698,3.7,16.1,16.5,"(0.072, 0.073)","(1.4, 1.5)","(1.4, 1.5)",122
94331-01-06-00,XTEJ1752-223,C,low,2.247,4.3,28.6,28.9,"(0.014, 0.015)","(1.4, 1.6)","(1.4, 1.6)",123
94331-01-06-01,XTEJ1752-223,C,low,4.079,6.2,26.7,27.4,"(0.02, 0.02)","(0.7, 0.7)","(0.7, 0.7)",124
94331-01-06-02,XTEJ1752-223,C,low,5.34,5.9,23.5,24.2,"(0.024, 0.024)","(0.3, 0.3)","(0.3, 0.3)",125
95360-01-11-00,XTEJ1752-223,C,low,6.462,7.5,22.2,23.4,"(0.129, 0.129)","(1.0, 1.1)","(1.0, 1.2)",126
91110-02-25-00,XTEJ1817-330,C,low,10.584,1.8,6.4,6.7,"(0.206, 0.202)","(0.6, 0.6)","(0.6, 0.6)",127
91110-02-31-00,XTEJ1817-330,C,low,11.423,2.7,6.0,6.6,"(0.401, 0.401)","(0.2, 0.3)","(0.3, 0.3)",128
40124-01-04-00,XTE J1859+226,C,intermediate,1.201,17.3,30.9,35.4,"(0.007, 0.007)","(1.7, 1.7)","(1.5, 1.6)",129
40124-01-05-00,XTE J1859+226,C,intermediate,3.051,15.3,25.8,30.0,"(0.01, 0.01)","(1.1, 1.3)","(1.0, 1.1)",130
40124-01-06-00,XTE J1859+226,C,intermediate,3.625,15.0,21.8,26.5,"(0.009, 0.009)","(1.3, 1.7)","(1.1, 1.4)",131
40124-01-07-00,XTE J1859+226,C,intermediate,3.663,14.3,24.3,28.2,"(0.013, 0.013)","(1.0, 1.0)","(0.9, 0.9)",132
40124-01-08-00,XTE J1859+226,C,intermediate,4.364,13.4,20.5,24.4,"(0.007, 0.007)","(0.8, 0.9)","(0.7, 0.8)",133
40124-01-09-00,XTE J1859+226,C,intermediate,4.949,13.5,18.3,22.7,"(0.007, 0.007)","(0.8, 0.8)","(0.6, 0.6)",134
40124-01-10-00,XTE J1859+226,C,intermediate,5.772,11.7,11.8,19.2,"(0.017, 0.017)","(0.7, 0.8)","(0.6, 0.6)",135
40124-01-11-00,XTE J1859+226,C,intermediate,5.92,14.2,11.8,19.7,"(0.014, 0.014)","(0.6, 0.7)","(0.8, 0.7)",136
40124-01-14-00,XTE J1859+226,C,intermediate,8.561,3.4,10.2,12.4,"(0.06, 0.06)","(0.3, 0.2)","(0.4, 0.4)",137
40124-01-15-00,XTE J1859+226,C,intermediate,6.16,8.2,18.7,20.4,"(0.021, 0.021)","(0.3, 0.3)","(0.3, 0.3)",138
40124-01-16-00,XTE J1859+226,C,intermediate,7.731,4.8,9.5,10.6,"(0.056, 0.055)","(0.5, 0.6)","(0.5, 0.5)",139
40124-01-17-00,XTE J1859+226,C,intermediate,7.5,6.7,11.7,15.0,"(0.031, 0.031)","(0.3, 0.3)","(0.3, 0.3)",140
40124-01-18-00,XTE J1859+226,C,intermediate,5.889,9.0,17.5,19.7,"(0.011, 0.011)","(0.8, 0.9)","(0.7, 0.8)",141
40124-01-19-00,XTE J1859+226,C,intermediate,5.179,12.9,18.3,22.4,"(0.008, 0.008)","(0.8, 0.9)","(0.6, 0.7)",142
40124-01-20-00,XTE J1859+226,C,intermediate,6.433,10.7,13.0,18.3,"(0.019, 0.019)","(0.4, 0.4)","(0.4, 0.4)",143
40124-01-21-00,XTE J1859+226,C,intermediate,6.313,9.5,14.8,19.1,"(0.013, 0.013)","(1.0, 0.6)","(0.8, 0.5)",144
40124-01-23-00,XTE J1859+226,C,intermediate,6.906,7.9,12.2,15.2,"(0.026, 0.026)","(0.8, 1.0)","(0.7, 0.8)",145
40124-01-23-01,XTE J1859+226,C,intermediate,7.684,6.1,10.2,14.2,"(0.05, 0.049)","(0.3, 0.3)","(0.5, 0.5)",146
40124-01-25-00,XTE J1859+226,C,intermediate,6.199,8.2,17.5,20.1,"(0.019, 0.019)","(0.3, 0.3)","(0.3, 0.4)",147
40124-01-26-00,XTE J1859+226,C,intermediate,7.526,7.2,9.0,14.6,"(0.046, 0.046)","(0.1, 0.1)","(0.2, 0.2)",148
40124-01-28-00,XTE J1859+226,C,intermediate,7.695,3.1,11.5,12.7,"(0.092, 0.092)","(0.3, 0.4)","(0.4, 0.4)",149
40124-01-28-01,XTE J1859+226,C,intermediate,7.505,5.6,11.7,13.0,"(0.043, 0.044)","(0.6, 0.7)","(0.6, 0.6)",150
40124-01-29-00,XTE J1859+226,C,intermediate,7.684,4.4,10.5,13.2,"(0.056, 0.056)","(0.5, 0.5)","(0.6, 0.6)",151
40124-01-31-00,XTE J1859+226,C,intermediate,7.257,6.0,12.5,14.2,"(0.034, 0.034)","(1.3, 1.1)","(1.2, 1.0)",152
96371-02-01-00,MAXI1543-564,C,intermediate,1.056,17.6,16.1,23.9,"(0.014, 0.014)","(3.4, 3.4)","(2.6, 2.5)",153
96371-02-01-01,MAXI1543-564,C,intermediate,1.742,14.5,23.9,28.0,"(0.009, 0.009)","(1.4, 1.5)","(1.2, 1.3)",154
96371-02-01-02,MAXI1543-564,C,intermediate,2.971,16.6,27.7,32.3,"(0.009, 0.009)","(1.1, 1.1)","(1.0, 1.0)",155
96371-02-02-00,MAXI1543-564,C,intermediate,4.376,12.4,21.2,24.6,"(0.023, 0.023)","(1.8, 2.2)","(1.6, 2.0)",156
96371-02-02-01,MAXI1543-564,C,intermediate,5.724,10.1,25.4,27.3,"(0.036, 0.036)","(1.3, 1.3)","(1.2, 1.2)",157
30188-06-01-00,XTE J1550-564,C,high,0.288,15.6,36.4,39.6,"(0.001, 0.001)","(0.6, 0.6)","(0.6, 0.6)",158
30188-06-01-01,XTE J1550-564,C,high,0.395,15.6,31.5,35.1,"(0.002, 0.002)","(0.7, 0.8)","(0.7, 0.7)",159
30188-06-01-02,XTE J1550-564,C,high,0.809,16.5,27.2,31.8,"(0.002, 0.002)","(1.3, 1.2)","(1.1, 1.1)",160
30188-06-01-03,XTE J1550-564,C,high,1.034,16.8,28.5,33.5,"(0.003, 0.003)","(0.4, 0.4)","(0.4, 0.4)",161
30188-06-03-00,XTE J1550-564,C,high,0.122,15.2,39.7,42.5,"(0.001, 0.001)","(0.8, 0.8)","(0.8, 0.8)",162
30188-06-04-00,XTE J1550-564,C,high,1.533,15.1,27.8,31.7,"(0.004, 0.004)","(0.9, 0.9)","(0.8, 0.8)",163
