observation_ID,gamma,kTe,nthcomp_norm,diskbb_tin,diskbb_norm,red_stat
50703-01-17-02,0.223415,2.63196E+07,2.38867,999.227,11.0203,8.846953541507997
50703-01-18-00,0.219194,3.41604E+07,2.38913,999.960,11.1173,8.74391397578204
50703-01-18-01,0.222027,2.88107E+07,2.38935,999.793,11.0778,8.664399598896967
50703-01-18-02,0.221235,3.01281E+07,2.38973,999.999,11.1105,8.570632785251618
50703-01-18-03,0.218388,3.60615E+07,2.39033,998.601,11.1831,8.487896756622925
50703-01-19-03,0.213050,5.05032E+07,2.39106,996.329,11.3083,8.361001476377952
50703-01-21-00,0.200000,1.23658E+08,2.39258,1000.000,11.5616,8.301604304230864
50703-01-21-01,0.212550,5.27690E+07,2.39053,996.512,11.3099,8.231656538648519
50703-01-21-02,0.213803,4.91402E+07,2.38990,999.987,11.2744,8.17493718289442
50703-01-24-01,0.200000,1.26313E+08,2.39135,1000.00,11.5485,8.076975264169068
50703-01-25-00,0.207690,7.39360E+07,2.39102,999.661,11.4172,8.029527333492481
50703-01-25-01,0.204583,9.21894E+07,2.39095,887.379,11.4748,7.9486865211200755
50703-01-25-02,0.200357,1.24647E+08,2.39178,999.427,11.5610,7.906080443500826
50703-01-27-03,0.206370,8.20562E+07,2.39179,999.998,11.4752,7.821628752345217
50703-01-28-00,0.200000,1.28029E+08,2.39336,1000.000,11.6335,7.71805315924458
50703-01-28-01,0.200000,1.29853E+08,2.39272,970.161,11.6275,7.63541956420955
50703-01-28-02,0.201572,1.15501E+08,2.39351,1000.000,11.6293,7.564684259045864
50703-01-40-01,0.200000,1.30256E+08,2.39291,939.879,11.6583,7.454160174152155
50703-01-40-02,0.200000,1.29983E+08,2.39326,1000.00,11.6819,7.355297334244703
50703-01-40-03,0.203306,1.02384E+08,2.39346,1000.000,11.6445,7.273460579972814
50703-01-41-00,0.200326,1.27402E+08,2.39265,890.743,11.6925,7.164808515431403
50703-01-41-01,0.200002,1.30756E+08,2.39236,611.641,11.7161,7.06169690860215
50703-01-41-02,0.200000,1.29888E+08,2.39470,1000.000,11.7809,6.978800400980173
50703-01-41-03,0.200042,1.30345E+08,2.39315,588.256,11.7635,6.893842490031015
50703-01-42-00,0.200002,1.31876E+08,2.39395,836.830,11.7784,6.852012557832121
50703-01-42-01,0.200000,1.32369E+08,2.39348,543.883,11.7780,6.808866126205084
