full_ids,simpl_tin,simpl_diskbb_norm,simpl_gamma,simpl_FracScat,fit_stat,reduced_fit_stat,mjd,net_source_count_rate,source_percent,source_exposure_time,hardness_ratio,counts_ratio,source_counts,net_source_counts,bg_net_count_rate,pds_exposure
1050360105_29,0.200000,2.02841E+07,2.18356,8.16074E-02,4717.89,23.472089552238806,58009.8711343,4416.0,99.9,803.781432047486,0.3878883641035065,3453.465332596209,3865724,3865724,1.3930398741716488,
1050360105_4,0.200000,1.91127E+07,2.38174,0.128281,736.09,3.6621393034825873,58009.0634028,4903.0,99.9,104.583780008834,0.3485501113007045,2348.292590569696,563173,563173,2.2940890020560816,
1050360106_0,0.200000,2.03222E+07,2.17822,8.07099E-02,5288.25,26.309701492537314,58009.9998148,4410.0,99.9,825.68399998825,0.3896083205446472,3261.5191510843574,3964168,3964168,1.4724868568458718,
1050360106_1,0.200000,2.04424E+07,2.18239,8.10475E-02,5350.38,26.618805970149253,58010.0641898,4429.0,99.9,823.624020030722,0.38860393237490654,3137.374919124889,3970004,3970004,1.5368588002022718,
1050360106_2,0.200000,2.04141E+07,2.20476,8.51678E-02,5108.36,25.4147263681592,58010.1285301,4498.0,99.9,824.607958141714,0.3840705315608478,3544.029441546567,4041021,4041021,1.3831485454273909,
1050360106_3,0.200000,2.06358E+07,2.17695,8.04268E-02,5479.03,27.258855721393033,58010.1926505,4471.0,99.9,884.2376269595699,0.3891987098783376,2281.484427987221,4304840,4304840,2.1348182750360647,
1050360106_4,0.200000,2.05737E+07,2.17022,8.01017E-02,5199.58,25.868557213930348,58010.2570023,4480.0,99.9,844.464641860686,0.3909724798872425,1898.702773422823,4122163,4122163,2.572263755448008,
1050360106_5,0.200000,2.04256E+07,2.16036,7.84172E-02,5249.59,26.117363184079604,58010.321354199994,4418.0,99.9,844.507092183921,0.3936950618370756,1370.4831238466352,4062235,4062235,3.5124088096404282,
1050360106_6,0.200000,2.05413E+07,2.19168,8.28820E-02,5534.02,27.532437810945275,58010.3856944,4489.0,99.9,885.229600146413,0.3869022038496289,1728.293997522968,4328312,4328312,2.8307164423337703,
1050360106_7,0.200000,2.05293E+07,2.23789,9.24315E-02,1072.05,5.333582089552238,58010.45004630001,4674.0,100.0,143.198064029217,0.3785834717808305,4120.7372222834865,730226,730226,1.2378004326524048,
1050360106_8,0.200000,2.05598E+07,2.23210,9.20620E-02,2098.95,10.442537313432835,58010.4567477,4699.0,99.9,309.29758607083903,0.3785994634228202,2614.591895100389,1587223,1587223,1.963467164460136,
1050360106_9,0.200000,2.08892E+07,2.23323,9.19242E-02,1613.36,8.026666666666666,58010.52158559999,4761.0,99.9,236.680289980955,0.3778407191352816,1272.7228126789205,1231243,1231243,4.0906207762435285,
1050360107_0,0.200000,2.20197E+07,2.24771,9.62336E-02,5658.82,28.153333333333332,58011.86532409999,5139.0,99.9,871.743261994328,0.3750828584484685,3073.246419755771,4898182,4898182,1.828901314147824,
1050360107_1,0.200000,2.22135E+07,2.24946,9.75872E-02,5598.22,27.851840796019903,58011.929699099994,5241.0,99.9,882.612504120916,0.3745997539740281,2888.282493424949,5060923,5060923,1.985959448135609,
1050360108_4,0.200000,2.20606E+07,2.35751,0.130483,565.08,2.8113432835820897,58012.3799306,5936.0,100.0,65.5480979857966,0.35322159283321164,6904.769052992639,427691,427691,0.9451130553414916,
1050360108_5,0.200000,2.14477E+07,2.34878,0.131619,597.57,2.972985074626866,58012.3845255,5884.0,99.9,77.4829380037263,0.3559887139609719,2377.659088589368,501687,501687,2.7243310308280977,
1050360108_8,0.200000,2.29984E+07,2.28018,0.104867,1963.85,9.770398009950249,58012.515625,5575.0,99.9,282.194611940533,0.3681536402478104,1513.4976556870745,1724739,1724739,4.040917242893669,
1050360108_9,0.200000,2.26425E+07,2.27636,0.104971,914.42,4.549353233830845,58012.5818866,5521.0,99.9,118.25172800989799,0.3697643528951801,1936.1998496982949,715756,715756,3.1277474585156884,
1050360109_10,0.200000,2.32533E+07,2.34022,0.129590,5520.62,27.465771144278605,58013.9882292,6358.0,100.0,864.8063190896061,0.35763105819362057,4647.73117062048,6049521,6049521,1.5054092719192786,
1050360109_2,0.200000,2.12293E+07,2.41783,0.173409,640.62,3.1871641791044776,58013.34517359999,6914.0,100.0,66.4528110297397,0.3449564758709573,4678.105104909295,507851,507851,1.6339765728975295,
1050360109_3,0.200000,2.15169E+07,2.41469,0.169027,1296.34,6.449452736318408,58013.3459722,6867.0,100.0,160.639848053455,0.34447985815997445,3406.172683488397,1218977,1218977,2.2284509832493624,
1050360109_5,0.200000,2.20451E+07,2.40374,0.159986,1453.21,7.229900497512438,58013.5457755,6773.0,99.9,197.53675302444,0.3464588167545987,2714.737850311793,1476336,1476336,2.754034694605686,
1050360109_8,0.200000,2.30649E+07,2.37156,0.145337,641.57,3.191890547263682,58013.7308681,6747.0,100.0,72.445565010421,0.35308453497737924,8225.294720762246,538582,538582,0.9039436656378698,
1050360110_0,0.200000,2.33574E+07,2.35453,0.135146,5506.85,27.39726368159204,58014.05261569999,6522.0,100.0,861.700923932716,0.3555786273270056,4037.821558389776,6184317,6184317,1.7778521109723748,
1050360110_3,0.200000,2.17051E+07,2.45326,0.197335,2932.01,14.587114427860698,58014.6958796,7636.0,99.9,327.25836002267897,0.3384999001999504,3188.484037900532,2766206,2766206,2.651830434947721,
1050360110_4,0.200000,2.14417E+07,2.46156,0.205785,4571.66,22.74457711442786,58014.6997222,7768.0,99.9,533.579791912809,0.3369979105965171,2497.097990402983,4591089,4591089,3.4471065515632033,
1050360110_5,0.200000,2.01139E+07,2.50893,0.249504,2636.81,13.118457711442785,58014.824375,8244.0,100.0,189.33123305626202,0.3288957177496613,6550.1042948523045,1732072,1732072,1.396888593727092,
1050360110_6,0.200000,2.00031E+07,2.50526,0.254182,8862.69,44.09298507462687,58014.82666669999,8386.0,100.0,673.0893047330901,0.3301605942863663,6930.467687512682,6265500,6265500,1.3433314130499907,
1050360111_2,0.200000,1.24135E+07,2.61917,0.621351,27252.44,135.58427860696517,58015.3430903,10720.0,100.0,514.540000073612,0.31514791206905,2732.0374115797804,6158270,6158270,4.382399186480697,
1050360111_3,0.200000,1.62479E+07,2.59750,0.431826,3516.92,17.497114427860698,58015.5963426,10100.0,100.0,109.855590021238,0.31670446058457097,8580.659805605741,1237778,1237778,1.3132594377124402,
1050360111_6,0.200000,1.39062E+07,2.63215,0.558862,7784.01,38.726417910447765,58015.6674074,10640.0,100.0,175.14680998306702,0.3111518808501109,3435.6183131933253,2081925,2081925,3.4608626767212622,
1050360112_1,0.200000,1.35289E+07,2.59521,0.572395,33170.82,165.0289552238806,58016.306354199995,11120.0,99.9,657.731550084427,0.3188224277827008,2526.8584368751754,8169093,8169093,4.9171805944811116,
1050360112_3,0.200000,1.59594E+07,2.60199,0.460967,28875.26,143.65800995024875,58016.947291699995,10520.0,100.0,847.9329403974119,0.3154806353150234,13406.232909127788,9955228,9955228,0.8758209709647713,
1050360113_0,0.200000,1.60592E+07,2.60267,0.457250,28118.23,139.89169154228856,58017.0116204,10490.0,100.0,849.9117803983389,0.31524312261790005,9674.251232115208,9949991,9949991,1.2102535679248336,
1050360113_1,0.200000,1.39386E+07,2.64407,0.570283,39645.23,197.23995024875623,58017.0759722,10710.0,100.0,860.612700227648,0.30878428027212607,7086.48257540015,10302821,10302821,1.6895808145134508,
1050360113_2,0.200000,1.44037E+07,2.63492,0.550631,38156.68,189.8342288557214,58017.14010419999,10820.0,100.0,879.318790383637,0.3104343449398279,2764.505310842165,10637354,10637354,4.377508066189368,
1050360113_4,0.200000,1.30516E+07,2.65910,0.635778,44760.79,222.69049751243782,58017.2688426,10950.0,100.0,876.245140397921,0.3066468460971497,4695.875373557844,10724684,10724684,2.606962679266769,
