observation_ID,A,B,C,D,E,F
80701-01-57-00,1079.0,0.741073,4.89447e-11,2.38662,13.2044,5.14773
80701-01-58-00,1240.0,0.737085,1.22085e-11,2.38531,13.355,5.1583
80701-01-58-01,1195.0,0.731228,3.29376e-11,2.38233,13.3068,5.18236
80701-01-58-02,1215.0,0.72011,3.94875e-12,2.37834,13.1487,5.25414
80701-01-58-03,1235.0,0.720127,2.6008e-11,2.37572,13.0882,5.22869
80701-01-59-00,1218.0,0.712145,0.0190445,2.37349,13.0432,5.28014
80701-01-59-01,1181.0,0.701502,3.63617e-11,2.36974,12.8691,5.35275
80701-01-59-02,1195.0,0.697613,5.05469e-11,2.36544,12.6959,5.35447
80701-01-60-00,1754.0,0.699325,5.15884e-12,2.3689,12.9319,5.36015
80701-01-60-02,1694.0,0.699994,5.65482e-12,2.37012,13.0344,5.36126
80701-01-61-00,1548.0,0.667921,2.81721e-13,2.3567,12.1979,5.60432
80701-01-61-01,1596.0,0.689691,1.40554e-12,2.3695,13.1589,5.4541
80701-01-61-02,1452.0,0.661841,7.2617e-13,2.35681,12.2876,5.66531
80701-01-62-00,1116.0,0.682705,1.10923e-09,2.36607,13.1599,5.48043
80701-01-62-01,1107.0,0.669195,0.000181112,2.36023,12.9357,5.56414
80701-01-62-02,1120.0,0.675687,5.89073e-10,2.35967,13.0698,5.47574
90105-01-03-00,2829.0,0.644716,5.33246e-13,2.34688,12.1279,5.73269
90105-01-03-01,3031.0,0.641804,1.09522e-10,2.34558,12.0755,5.76824
90105-02-01-00,3110.0,0.675074,1.0058e-11,2.35926,12.9176,5.51517
90105-02-01-01,3615.0,0.666566,0.0249358,2.35682,12.7217,5.60001
90105-02-01-02,3073.0,0.67597,3.49782e-12,2.35788,12.7231,5.51944
90105-02-02-00,3042.0,0.675303,1.98114e-09,2.35898,12.7143,5.54551
90105-02-03-00,3477.0,0.67398,1.88208e-10,2.35771,12.612,5.56158
90105-02-04-00,1055.0,0.661451,3.31149e-08,2.35717,12.7558,5.65661
90105-02-05-00,1886.0,0.663771,9.44476e-12,2.36171,13.1408,5.66444
90105-05-03-00,2049.0,0.664199,5.89341e-10,2.36014,12.9987,5.65721
90105-05-03-01,2013.0,0.666686,2.40365e-10,2.36038,12.9443,5.64224
90105-05-03-02,2009.0,0.669565,4.4626e-10,2.36161,12.9682,5.62808
90105-05-03-03,2019.0,0.63986,9.31433e-13,2.34847,12.0497,5.8739
90105-05-03-04,1965.0,0.671411,1.4604e-11,2.36155,12.8434,5.6247
90105-05-03-05,1955.0,0.665719,1.34079e-11,2.36006,12.7229,5.68145
90105-07-01-00,2065.0,0.674624,7.88081e-11,2.3595,12.2527,5.60237
90105-07-02-00,2094.0,0.671671,1.94159e-05,2.35709,11.7814,5.63383
90105-07-03-00,2125.0,0.679017,3.86311e-10,2.36206,11.8923,5.59689
90105-09-02-00,1574.0,0.6737,1.59424e-10,2.36167,11.9426,5.64767
90105-09-05-00,1941.0,0.64618,1.02013e-12,2.35038,11.3467,5.87747
90105-09-06-00,1107.0,0.663412,1.11476e-10,2.3604,12.051,5.73211
90105-09-07-00,1114.0,0.659214,8.34456e-11,2.35722,11.9738,5.74189
90105-09-08-01,1255.0,0.650216,8.94934e-11,2.35478,11.9227,5.81207
90105-10-01-00,1104.0,0.649036,1.16746e-11,2.3526,11.9622,5.7877
90105-10-05-00,1643.0,0.61362,3.753e-13,2.34106,11.3606,6.10821
90105-10-06-00,1079.0,0.643885,0.0375519,2.34803,11.8761,5.7917
90105-10-07-00,1103.0,0.642417,0.0355552,2.34605,11.8749,5.77733
90108-01-02-00,1587.0,0.645389,0.0176666,2.35003,12.1149,5.76959
90108-01-03-00,1505.0,0.646447,1.51419e-10,2.35051,12.109,5.76321
90108-01-04-00,1460.0,0.650243,9.6874e-10,2.35041,12.1311,5.71876
90108-01-05-00,1454.0,0.652737,0.000272064,2.35112,12.1591,5.69745
90108-01-06-00,1407.0,0.656776,2.57435e-11,2.35109,12.174,5.65275
