CHANNEL,COUNTS
159.0,620.7671024933127
160.0,613.7809775456387
161.0,639.729441636999
162.0,623.7611560423157
163.0,671.6660128263655
164.0,652.7036736826792
165.0,640.7274594866667
166.0,693.6224055190551
167.0,709.5906911137384
168.0,652.7036736826792
169.0,731.547083806428
170.0,684.6402448720457
171.0,664.6798878786917
172.0,714.5807803620769
173.0,763.4836549957945
174.0,744.521315852108
175.0,731.547083806428
176.0,666.6759235780271
177.0,726.5569945580894
178.0,720.5688874600831
179.0,703.6025840157322
180.0,751.507440799782
181.0,711.5867268130738
182.0,643.7215130356699
183.0,655.6977272316823
184.0,678.6521377740395
185.0,587.8325134542783
186.0,535.9355852715577
187.0,549.9078351669056
188.0,572.8622457092628
189.0,566.8741386112565
190.0,542.9217102192316
191.0,518.9692818272067
192.0,517.971263977539
193.0,525.9554067748807
194.0,488.0307284875078
195.0,504.9970319318588
196.0,571.8642278595951
197.0,534.93756742189
198.0,525.9554067748807
199.0,521.9633353762098
200.0,552.9018887159086
201.0,484.038657088837
202.0,525.9554067748807
203.0,489.02874633717556
204.0,503.99901408219114
205.0,474.05847859216
206.0,525.9554067748807
207.0,503.99901408219114
208.0,497.0128891345172
209.0,470.06640719348917
210.0,491.02478203651094
211.0,499.0089248338526
212.0,471.06442504315686
213.0,478.0505499908308
214.0,445.1159609517965
215.0,436.13380030478714
216.0,455.0961394484736
217.0,433.1397467557841
218.0,408.1893005140914
219.0,395.21506846841123
220.0,390.2249792200727
221.0,339.32606888701974
222.0,359.2864258803739
223.0,352.30030093269994
224.0,311.38156909632403
225.0,320.36372974333335
226.0,284.435087155296
227.0,270.4628372599481
228.0,263.4767123122742
229.0,242.51833746925237
230.0,251.5004981162617
231.0,293.4172478023053
232.0,235.53221252157843
233.0,230.5421232732399
234.0,219.56392692689514
235.0,227.5480697242368
236.0,209.5837484302181
237.0,214.57383767855663
238.0,208.58573058055038
239.0,198.60555208387333
240.0,228.5460875739045
241.0,197.60753423420562
242.0,225.55203402490136
243.0,188.6253735871963
244.0,232.5381589725753
245.0,212.57780197922122
246.0,208.58573058055038
247.0,203.59564133221187
248.0,206.58969488121497
249.0,207.58771273088269
250.0,209.5837484302181
251.0,180.64123078985463
252.0,198.60555208387333
253.0,205.59167703154728
254.0,205.59167703154728
255.0,187.62735573752857
256.0,169.66303444350987
257.0,195.6114985348702
258.0,189.62339143686398
259.0,182.63726648919004
260.0,198.60555208387333
261.0,179.64321294018694
262.0,175.65114154151613
263.0,188.6253735871963
264.0,190.6214092865317
265.0,164.67294519517137
266.0,169.66303444350987
267.0,182.63726648919004
268.0,162.67690949583596
269.0,179.64321294018694
270.0,162.67690949583596
271.0,167.66699874417446
272.0,153.6947488488266
273.0,140.72051680314644
274.0,151.6987131494912
275.0,134.7324097051402
276.0,180.64123078985463
277.0,153.6947488488266
278.0,120.76015980979233
279.0,154.6927666984943
280.0,157.68682024749742
281.0,161.67889164616824
282.0,149.7026774501558
283.0,145.71060605148494
284.0,110.77998131311527
285.0,130.74033830646937
286.0,113.7740348621184
287.0,140.72051680314644
288.0,122.75619550912774
289.0,143.71457035214954
290.0,119.76214196012462
291.0,129.74232045680168
292.0,111.77799916278298
293.0,144.71258820181725
294.0,117.76610626078921
295.0,115.7700705614538
296.0,131.7383561561371
297.0,122.75619550912774
298.0,115.7700705614538
299.0,107.78592776411216
300.0,105.78989206477675
301.0,114.7720527117861
302.0,126.74826690779857
303.0,125.75024905813085
304.0,123.75421335879544
305.0,102.79583851577364
306.0,121.75817765946003
307.0,116.76808841112151
308.0,93.81367786876429
309.0,113.7740348621184
310.0,79.84142797341642
311.0,101.79782066610593
312.0,90.81962431976118
313.0,86.82755292109036
314.0,103.79385636544134
315.0,83.83349937208723
316.0,77.84539227408101
317.0,91.81764216942888
318.0,96.8077314177674
319.0,81.83746367275182
320.0,94.81169571843199
321.0,74.8513387250779
322.0,83.83349937208723
323.0,91.81764216942888
324.0,88.82358862042577
325.0,68.86323162707166
326.0,86.82755292109036
327.0,72.85530302574247
328.0,90.81962431976118
329.0,81.83746367275182
330.0,91.81764216942888
331.0,82.83548152241953
332.0,73.85332087541019
333.0,72.85530302574247
334.0,87.82557077075806
335.0,86.82755292109036
336.0,72.85530302574247
337.0,80.83944582308412
338.0,66.86719592773625
339.0,65.86917807806854
340.0,80.83944582308412
341.0,73.85332087541019
342.0,63.873142378733135
343.0,66.86719592773625
344.0,57.8850352807269
345.0,69.86124947673936
346.0,59.88107098006231
347.0,62.875124529065424
348.0,62.875124529065424
349.0,52.894946032388376
350.0,61.87710667939772
351.0,53.89296388205608
352.0,59.88107098006231
353.0,51.89692818272067
354.0,50.89891033305297
355.0,50.89891033305297
356.0,48.90287463371755
357.0,56.8870174310592
358.0,59.88107098006231
359.0,36.926660437705095
360.0,61.87710667939772
361.0,64.87116022840084
362.0,49.90089248338526
363.0,56.8870174310592
364.0,50.89891033305297
365.0,45.90882108471444
366.0,44.910803235046735
367.0,58.88305313039461
368.0,46.906838934382144
369.0,55.88899958139149
370.0,48.90287463371755
371.0,42.91476753571132
372.0,50.89891033305297
373.0,53.89296388205608
374.0,56.8870174310592
375.0,35.928642588037384
376.0,33.932606888701976
377.0,29.940535490031156
378.0,39.92071398670821
379.0,36.926660437705095
380.0,39.92071398670821
381.0,33.932606888701976
382.0,36.926660437705095
383.0,48.90287463371755
384.0,45.90882108471444
385.0,42.91476753571132
386.0,34.93062473836968
387.0,34.93062473836968
388.0,34.93062473836968
389.0,43.91278538537903
390.0,37.9246782873728
391.0,26.94648194102804
392.0,38.922696137040504
393.0,38.922696137040504
394.0,45.90882108471444
395.0,29.940535490031156
396.0,36.926660437705095
397.0,43.91278538537903
398.0,44.910803235046735
399.0,37.9246782873728
400.0,34.93062473836968
401.0,20.958374843021808
402.0,31.936571189366568
403.0,27.944499790695744
404.0,32.93458903903427
405.0,27.944499790695744
406.0,30.93855333969886
407.0,31.936571189366568
408.0,29.940535490031156
409.0,24.95044624169263
410.0,43.91278538537903
411.0,23.952428392024924
412.0,28.94251764036345
413.0,27.944499790695744
414.0,27.944499790695744
415.0,38.922696137040504
416.0,24.95044624169263
417.0,28.94251764036345
418.0,19.960356993354104
419.0,23.952428392024924
420.0,20.958374843021808
421.0,21.956392692689516
422.0,38.922696137040504
423.0,24.95044624169263
424.0,29.940535490031156
