observation_ID,MJD
50125-01-01-04,51738.53407407407
50125-01-02-00,51739.39814814815
50125-01-02-01,51739.33148148148
50125-01-02-02,51739.264444444445
50125-01-03-00,51740.262777777774
50405-01-02-00,51656.389814814815
50405-01-02-01,51656.45481481482
50405-01-02-02,51656.52148148148
50405-01-03-00,51657.319444444445
50703-01-08-00,51668.09240740741
50703-01-17-00,51730.915
50703-01-17-01,51730.98629629629
50703-01-17-02,51731.05648148148
50703-01-18-00,51737.89074074074
50703-01-18-01,51737.95925925926
50703-01-18-02,51738.03074074074
50703-01-18-03,51738.09851851852
50703-01-19-03,51744.07388888889
50703-01-21-00,51758.87314814815
50703-01-21-01,51758.93981481482
50703-01-21-02,51759.00796296296
50703-01-24-01,51779.985925925925
50703-01-25-00,51786.78611111111
50703-01-25-01,51786.96074074074
50703-01-25-02,51786.85518518519
50703-01-27-03,51799.93648148148
50703-01-28-00,51808.69148148148
50703-01-28-01,51808.75851851852
50703-01-28-02,51808.82518518518
50703-01-40-01,51891.55222222222
50703-01-40-02,51891.61981481482
50703-01-40-03,51891.69111111111
50703-01-41-00,51897.44962962963
50703-01-41-01,51897.52037037037
50703-01-41-02,51897.58851851852
50703-01-41-03,51897.66
50703-01-42-00,51902.49333333333
50703-01-42-01,51902.56351851852
50703-01-42-02,51902.63166666667
50703-01-43-00,51912.439259259256
50703-01-43-01,51912.571851851855
50703-01-43-02,51912.50518518518
50703-01-44-01,51967.293703703705
50703-01-45-00,51940.37944444444
50703-01-45-01,51940.45018518518
50703-01-46-00,51947.34203703704
50703-01-46-01,51947.41055555556
50703-01-46-02,51947.48018518519
50703-01-48-00,51961.33018518519
50703-01-49-00,51967.36
50703-01-50-00,51976.30296296296
50703-01-50-01,51976.43796296296
50703-01-50-02,51976.261296296296
50703-01-51-00,51982.21
50703-01-51-01,51982.27092592593
50703-01-52-00,51997.21481481481
50703-01-52-01,51997.28425925926
50703-01-52-02,51997.35314814815
50703-01-53-00,52004.17203703704
50703-01-53-01,52004.24185185185
50703-01-53-02,52004.31
50703-01-54-00,52011.19666666666
50703-01-54-01,52011.265185185184
50703-01-54-02,52011.33185185185
50703-01-55-00,52016.16444444445
50703-01-55-01,52016.23092592593
50703-01-56-00,52025.16518518519
50703-01-59-00,52045.07314814815
50703-01-59-01,52045.14333333333
50703-01-62-00,52066.00333333333
50703-01-62-01,52066.07203703704
50703-01-62-02,52066.13851851852
50703-01-62-03,52066.19740740741
50703-01-64-00,52077.98092592593
50703-01-65-01,52096.95814814815
50703-01-66-00,52096.886666666665
50703-01-66-01,52097.028333333335
50703-01-67-00,52112.916296296295
50703-01-67-01,52112.985
50703-01-67-02,52113.05388888889
60100-01-01-00,52126.47462962963
60100-01-01-01,52128.20148148148
60100-01-02-00,52127.467777777776
60100-01-03-01,52128.13518518519
60405-01-01-00,51992.89296296296
60405-01-01-01,51993.09148148148
60405-01-03-00,52126.015185185184
60405-01-04-00,52099.08314814815
60405-01-04-01,52100.11185185185
60405-01-04-02,52101.10814814815
60405-01-04-03,52099.12148148148
60405-01-04-04,52099.18685185185
60405-01-04-05,52100.24444444444
60405-01-04-06,52100.31444444445
60405-01-04-07,52101.00111111111
60405-01-04-08,52101.07
60701-01-01-00,52122.97592592592
60701-01-01-01,52123.04203703704
60701-01-04-00,52148.75796296296
60701-01-04-02,52148.93407407407
60701-01-05-00,52157.765555555554
60701-01-05-01,52157.90314814815
60701-01-06-00,52162.73
60701-01-06-01,52162.86703703704
60701-01-06-02,52162.79833333333
60701-01-20-00,52276.48092592593
60701-01-23-00,52296.36351851852
60701-01-23-01,52296.43611111112
60701-01-24-00,52304.38796296297
60701-01-24-01,52304.45777777778
60701-01-24-02,52304.526666666665
60701-01-25-00,52312.31277777778
60701-01-25-01,52312.38111111111
60701-01-26-00,52318.322592592594
60701-01-26-01,52318.39148148148
60701-01-26-02,52318.45962962963
60701-01-26-03,52318.528333333335
60701-01-28-00,52339.3112962963
60701-01-29-00,52354.23296296296
60701-01-30-00,52360.19962962963
60701-01-30-01,52360.26888888889
60701-01-30-02,52360.337222222224
60701-01-31-01,52372.21
60701-01-33-00,52388.09851851852
60701-01-33-01,52388.17296296296
60702-01-01-00,52106.33981481481
60702-01-01-01,52106.1037037037
60702-01-01-02,52106.035
60702-01-01-10,52107.20222222222
70702-01-01-00,52394.177777777775
70702-01-03-00,52410.09685185185
70702-01-03-01,52410.16555555556
70702-01-04-00,52416.029444444444
70702-01-04-01,52416.09888888889
70702-01-04-02,52416.16703703704
70702-01-05-00,52422.03111111111
70702-01-05-01,52422.09944444445
70702-01-05-02,52422.16703703704
70702-01-05-03,52422.23629629629
