observation_ID,frequency,width,norm
60702-01-01-02,4.333,0.451,7.618
60702-01-01-02,0,0,0
60702-01-01-10,4.807,0.567,6.963
60702-01-01-10,0,0,0
70702-01-01-00,0.875,0.093,10.263
70702-01-01-00,0,0,0
70702-01-03-00,2.402,0.2,11.934
70702-01-03-00,0,0,0
70702-01-03-01,2.387,0.199,12.445
70702-01-03-01,0,0,0
70702-01-04-00,4.946,0.654,5.812
70702-01-04-00,0,0,0
70702-01-04-01,4.936,0.581,6.039
70702-01-04-01,0,0,0
70702-01-04-02,5.427,0.627,4.552
70702-01-04-02,0,0,0
70702-01-05-00,2.547,0.293,12.607
70702-01-05-00,0,0,0
70702-01-05-01,2.18,0.179,12.429
70702-01-05-01,0,0,0
70702-01-05-02,2.249,0.248,12.906
70702-01-05-02,0,0,0
70702-01-05-03,2.152,0.214,12.634
70702-01-05-03,0,0,0
70702-01-06-00,1.359,0.127,14.62
70702-01-06-00,0,0,0
70702-01-06-01,1.42,0.136,13.614
70702-01-06-01,0,0,0
70702-01-07-00,1.493,0.183,15.671
70702-01-07-00,0,0,0
70702-01-08-00,0.954,0.107,11.776
70702-01-08-00,0,0,0
70702-01-08-01,1.028,0.072,10.621
70702-01-08-01,0,0,0
70702-01-09-00,1.981,0.234,15.665
70702-01-09-00,0,0,0
70702-01-10-00,2.31,0.238,14.332
70702-01-10-00,0,0,0
70702-01-11-00,1.856,0.233,16.218
70702-01-11-00,0,0,0
70702-01-11-01,1.888,0.236,15.878
70702-01-11-01,0,0,0
70702-01-12-00,2.835,0.373,11.679
70702-01-12-00,0,0,0
70702-01-12-01,2.673,0.397,11.985
70702-01-12-01,0,0,0
70702-01-14-00,2.881,0.408,11.784
70702-01-14-00,0,0,0
70702-01-18-00,3.091,0.247,11.06
70702-01-18-00,0,0,0
70702-01-18-01,3.197,0.347,11.559
70702-01-18-01,0,0,0
70702-01-19-00,2.761,0.354,15.301
70702-01-19-00,0,0,0
70702-01-20-00,4.314,0.717,9.64
70702-01-20-00,0,0,0
70702-01-20-01,4.276,0.606,9.545
70702-01-20-01,0,0,0
70702-01-21-00,3.491,0.395,11.992
70702-01-21-00,0,0,0
70702-01-21-01,3.168,0.368,13.083
70702-01-21-01,0,0,0
70702-01-22-00,4.704,0.446,6.777
70702-01-22-00,0,0,0
70702-01-23-00,3.451,0.334,11.777
70702-01-23-00,0,0,0
70702-01-24-00,2.584,0.177,12.783
70702-01-24-00,0,0,0
70702-01-25-00,4.045,0.447,8.62
70702-01-25-00,0,0,0
70702-01-25-01,4.347,0.406,7.393
70702-01-25-01,0,0,0
70702-01-32-00,2.885,0.319,12.012
70702-01-32-00,0,0,0
70702-01-32-01,2.718,0.274,12.031
70702-01-32-01,0,0,0
70702-01-32-02,2.628,0.213,11.278
70702-01-32-02,0,0,0
70702-01-44-00,3.216,0.35,11.46
70702-01-44-00,0,0,0
70702-01-44-01,3.963,0.466,10.52
70702-01-44-01,0,0,0
70702-01-45-00,5.256,0.562,6.541
70702-01-45-00,0,0,0
70702-01-46-00,4.396,0.717,10.078
70702-01-46-00,0,0,0
70702-01-47-00,1.144,0.097,10.829
70702-01-47-00,0,0,0
70702-01-47-01,1.007,0.102,11.803
70702-01-47-01,0,0,0
70702-01-48-00,1.797,0.193,13.355
70702-01-48-00,0,0,0
70702-01-48-01,1.709,0.222,13.815
70702-01-48-01,0,0,0
70702-01-50-00,0.865,0.073,10.724
70702-01-50-00,0,0,0
70702-01-50-01,0.851,0.122,11.95
70702-01-50-01,0,0,0
70702-01-51-00,0.815,0.087,10.544
70702-01-51-00,0,0,0
70702-01-52-00,1.385,0.114,11.578
70702-01-52-00,0,0,0
70702-01-54-00,1.218,0.134,12.143
70702-01-54-00,0,0,0
70702-01-54-01,1.095,0.109,12.224
70702-01-54-01,0,0,0
70703-01-01-02,4.979,0.448,7.0
70703-01-01-02,0,0,0
70703-01-01-03,3.858,0.434,9.935
70703-01-01-03,0,0,0
70703-01-01-04,3.409,0.363,10.932
70703-01-01-04,0,0,0
70703-01-01-05,3.043,0.398,11.1
70703-01-01-05,0,0,0
70703-01-01-07,2.938,0.307,11.243
70703-01-01-07,0,0,0
70703-01-01-08,2.525,0.213,9.177
70703-01-01-08,0,0,0
70703-01-01-10,2.737,0.275,11.423
70703-01-01-10,0,0,0
70703-01-01-11,3.026,0.383,11.438
70703-01-01-11,0,0,0
70703-01-01-12,2.745,0.306,11.584
70703-01-01-12,0,0,0
70703-01-01-13,2.798,0.345,11.829
70703-01-01-13,0,0,0
70703-01-01-14,2.628,0.422,12.401
70703-01-01-14,0,0,0
80127-02-01-01,1.054,0.128,12.505
80127-02-01-01,0,0,0
80127-02-02-00,1.097,0.121,12.384
80127-02-02-00,0,0,0
80127-02-02-01,1.03,0.103,11.856
80127-02-02-01,0,0,0
80127-02-02-02,1.076,0.13,12.761
80127-02-02-02,0,0,0
80127-02-03-00,1.088,0.152,13.233
80127-02-03-00,0,0,0
80127-05-05-00,4.115,0.472,9.317
80127-05-05-00,0,0,0
80127-05-05-01,3.762,0.362,9.634
80127-05-05-01,0,0,0
80127-05-05-02,3.977,0.471,9.8
80127-05-05-02,0,0,0
80188-01-01-00,0.983,0.096,10.636
80188-01-01-00,0,0,0
80188-01-01-01,0.927,0.09,11.131
80188-01-01-01,0,0,0
80188-01-01-02,0.993,0.107,11.949
80188-01-01-02,0,0,0
80188-01-01-03,0.913,0.081,10.724
80188-01-01-03,0,0,0
80188-01-01-04,0.962,0.069,10.135
80188-01-01-04,0,0,0
80188-02-01-00,0.808,0.091,10.468
80188-02-01-00,0,0,0
80188-03-01-01,0.799,0.08,9.344
80188-03-01-01,0,0,0
80701-01-01-00,1.114,0.088,11.066
80701-01-01-00,0,0,0
80701-01-01-01,1.176,0.115,10.939
80701-01-01-01,0,0,0
80701-01-01-02,1.34,0.131,11.498
80701-01-01-02,0,0,0
80701-01-02-00,1.651,0.204,12.186
80701-01-02-00,0,0,0
80701-01-02-01,1.894,0.201,12.397
80701-01-02-01,0,0,0
80701-01-02-02,2.11,0.233,12.001
80701-01-02-02,0,0,0
80701-01-08-01,4.678,0.481,7.384
80701-01-08-01,0,0,0
80701-01-11-00,2.855,0.355,13.121
80701-01-11-00,0,0,0
80701-01-11-01,2.725,0.334,14.032
80701-01-11-01,0,0,0
80701-01-11-02,2.87,0.355,13.308
80701-01-11-02,0,0,0
80701-01-12-00,3.056,0.417,13.264
80701-01-12-00,0,0,0
80701-01-19-00,3.852,0.505,10.054
80701-01-19-00,0,0,0
80701-01-19-01,3.834,0.432,9.963
80701-01-19-01,0,0,0
80701-01-19-02,3.729,0.471,10.466
80701-01-19-02,0,0,0
80701-01-19-03,3.469,0.394,11.232
80701-01-19-03,0,0,0
80701-01-23-00,2.672,0.229,13.232
80701-01-23-00,0,0,0
80701-01-23-01,2.594,0.208,13.008
80701-01-23-01,0,0,0
80701-01-23-02,2.867,0.384,12.859
80701-01-23-02,0,0,0
80701-01-26-00,2.538,0.233,13.968
80701-01-26-00,0,0,0
80701-01-32-00,2.102,0.201,15.056
80701-01-32-00,0,0,0
80701-01-40-01,3.394,0.331,11.059
80701-01-40-01,0,0,0
80701-01-51-00,2.218,0.201,14.27
80701-01-51-00,0,0,0
80701-01-52-01,4.246,0.463,8.592
80701-01-52-01,0,0,0
80701-01-53-00,3.137,0.484,12.464
80701-01-53-00,0,0,0
80701-01-53-01,2.91,0.42,13.131
80701-01-53-01,0,0,0
80701-01-54-00,2.821,0.396,13.171
80701-01-54-00,0,0,0
80701-01-54-01,3.248,0.572,12.413
80701-01-54-01,0,0,0
80701-01-54-02,2.759,0.345,13.386
80701-01-54-02,0,0,0
80701-01-55-00,2.854,0.299,13.535
80701-01-55-00,0,0,0
80701-01-55-01,2.828,0.334,13.319
80701-01-55-01,0,0,0
80701-01-55-02,2.615,0.266,14.091
80701-01-55-02,0,0,0
80701-01-56-00,2.554,0.146,13.084
80701-01-56-00,0,0,0
80701-01-57-00,2.064,0.16,13.909
80701-01-57-00,0,0,0
80701-01-58-00,3.021,0.246,12.904
80701-01-58-00,0,0,0
80701-01-58-01,2.924,0.253,12.771
80701-01-58-01,0,0,0
80701-01-58-02,2.944,0.273,13.288
80701-01-58-02,0,0,0
80701-01-58-03,2.926,0.292,12.794
80701-01-58-03,0,0,0
80701-01-59-00,2.853,0.161,12.849
80701-01-59-00,0,0,0
80701-01-59-01,2.769,0.2,12.441
80701-01-59-01,0,0,0
80701-01-59-02,2.765,0.162,12.218
80701-01-59-02,0,0,0
80701-01-60-00,4.107,0.404,9.794
80701-01-60-00,0,0,0
80701-01-60-02,4.092,0.358,9.309
80701-01-60-02,0,0,0
