observation_ID,frequency,width,norm
1130360184_7,0,0,0
1130360184_9,0,0,0
1130360184_9,0,0,0
1130360185_0,0,0,0
1130360185_0,0,0,0
1130360185_1,0,0,0
1130360185_1,0,0,0
1130360185_2,0,0,0
1130360185_2,0,0,0
1130360186_0,0,0,0
1130360186_0,0,0,0
1130360186_1,0,0,0
1130360186_1,0,0,0
1130360187_0,0,0,0
1130360187_0,0,0,0
1130360188_0,0,0,0
1130360188_0,0,0,0
1130360199_1,0,0,0
1130360199_1,0,0,0
1130360199_2,0,0,0
1130360199_2,0,0,0
1130360201_0,0,0,0
1130360201_0,0,0,0
1130360202_0,0,0,0
1130360202_0,0,0,0
1130360203_0,0,0,0
1130360203_0,0,0,0
1130360203_1,0,0,0
1130360203_1,0,0,0
1130360203_2,0,0,0
1130360203_2,0,0,0
1130360204_0,0,0,0
1130360204_0,0,0,0
1130360205_0,0,0,0
1130360205_0,0,0,0
1130360205_1,0,0,0
1130360205_1,0,0,0
1130360205_2,0,0,0
1130360205_2,0,0,0
1130360206_0,0,0,0
1130360206_0,0,0,0
1130360206_1,0,0,0
1130360206_1,0,0,0
1130360207_0,0,0,0
1130360207_0,0,0,0
1130360207_1,0,0,0
1130360207_1,0,0,0
1130360208_0,0,0,0
1130360208_0,0,0,0
1130360209_0,0,0,0
1130360209_0,0,0,0
1130360226_3,0,0,0
1130360226_3,0,0,0
1130360226_4,0,0,0
1130360226_4,0,0,0
1130360226_5,0,0,0
1130360226_5,0,0,0
1130360226_6,0,0,0
1130360226_6,0,0,0
1130360227_0,0,0,0
1130360227_0,0,0,0
1130360227_1,0,0,0
1130360227_1,0,0,0
1130360228_1,0,0,0
1130360228_1,0,0,0
1130360228_4,0,0,0
1130360228_4,0,0,0
1130360229_1,0,0,0
1130360229_1,0,0,0
1130360229_2,0,0,0
1130360229_2,0,0,0
1130360230_0,0,0,0
1130360230_0,0,0,0
1130360230_2,0,0,0
1130360230_2,0,0,0
1130360231_0,0,0,0
1130360231_0,0,0,0
1130360231_1,0,0,0
1130360231_1,0,0,0
1130360231_2,0,0,0
1130360231_2,0,0,0
1130360231_3,0,0,0
1130360231_3,0,0,0
1130360232_0,0,0,0
1130360232_0,0,0,0
1130360232_2,0,0,0
1130360232_2,0,0,0
1130360248_0,0,0,0
1130360248_0,0,0,0
