observation_ID,simpl_FracScat,net_source_count_rate,tin_before_error,diskbb_norm_before_error,gamma_before_error,nthcomp_norm_before_error,hardness_ratio
1050360120_3,0.903772,10130.0,0.2831889999999999,0.1,2.83608,136.291,0.2764828089091008
1050360120_4,0.906345,10160.0,0.282524,0.1,2.82871,135.976,0.2771064869138529
1050360120_5,0.902322,10280.0,0.2536719999999999,0.1,2.7823,142.36700000000002,0.2818369662481001
1050360120_6,0.901943,10230.0,0.200021,0.1,2.75566,155.585,0.282237361666524
1050360120_7,0.906345,10230.0,0.271565,0.1,2.81237,138.963,0.2794310359195259
1130360103_0,0.641029,9077.0,0.2,3469010.0,2.67024,125.272,0.2982748486822357
1130360103_1,0.604809,9152.0,0.2,4179030.0,2.64699,123.028,0.3022128305489402
1130360103_2,0.639567,9137.0,0.2,3853660.0,2.64247,122.287,0.3044213130021098
1130360103_3,0.457008,8476.0,0.2,7245070.0,2.64554,113.082,0.3000873343352312
1130360104_0,0.314038,7466.0,0.2,11147200.0,2.5884400000000003,92.6776,0.3085422910891449
1130360104_1,0.330465,7548.0,0.2,10554100.0,2.59681,94.7004,0.3071791046965783
1130360105_0,0.36719,7603.0,0.2,9288180.0,2.62078,98.1809,0.3031368249734681
1130360105_1,0.384666,7684.0,0.2,8756560.0,2.62659,99.9817,0.3026329550141997
1130360105_2,0.324071,7354.0,0.2,10616000.0,2.5988,92.4078,0.3067032141249223
1130360105_3,0.353197,7524.0,0.2,9710270.0,2.61502,96.4504,0.3043667771508593
1130360106_0,0.442298,7630.0,0.2,7079890.0,2.66031,103.308,0.2966512908416439
1130360106_1,0.423902,7650.0,0.2,7583570.0,2.65002,102.335,0.2986463818562972
1130360107_0,0.257351,6488.0,0.2,12464300.0,2.56683,78.1277,0.3106667451100872
1130360107_11,0.241835,6305.0,0.2,12961500.0,2.55555,74.8334,0.3124766989724806
1130360107_12,0.245285,6379.0,0.2,12897500.0,2.55697,75.8668,0.3133341831719612
1130360107_13,0.241377,6293.0,0.2,12956400.0,2.5548900000000003,74.6291,0.3121378489350841
1130360107_14,0.246156,6368.0,0.2,12839500.0,2.5585,75.8744,0.3116966497769162
1130360107_15,0.326975,6880.0,0.2,10019000.0,2.61587,88.0569,0.3030234264959303
1130360107_6,0.247795,6412.0,0.2,12701200.0,2.55158,75.8518,0.3134187563734398
1130360107_7,0.23882,6389.0,0.2,13103000.0,2.5411900000000003,74.6386,0.3152480190584963
1130360108_2,0.361507,6930.0,0.2,8978510.0,2.64642,91.9099,0.2981666903829021
1130360109_2,0.900005,7691.0,0.2,0.1,2.8008900000000003,122.593,0.274871992865077
1130360109_5,0.70349,7687.0,0.2,2264470.0,2.7406200000000003,114.5,0.2850302726434773
1130360110_0,0.480572,7030.0,0.2,5931830.0,2.71509,101.075,0.2869249861575754
1130360110_1,0.367049,6756.0,0.2,8716210.0,2.66234,91.1747,0.2949552637964088
1130360110_3,0.706911,7273.0,0.2,2214350.0,2.78823,113.878,0.2757695858994156
1130360110_6,0.906345,7476.0,0.2,0.1,2.82235,121.864,0.2711933276540498
1130360111_0,0.84405,7411.0,0.2,656989.0,2.80593,118.592,0.2740726578307026
1130360111_2,0.879826,7356.0,0.2,311951.0,2.81789,119.271,0.2720829526573973
1130360111_3,0.906345,7268.0,0.2,0.1,2.83666,120.245,0.267657705145191
1130360113_0,0.456937,6368.0,0.2,6392090.0,2.77446,97.2741,0.2769716098276899
1130360113_1,0.282288,5762.0,0.2,11129200.0,2.66929,77.5933,0.2927709267596967
1130360130_4,0.903526,1226.0,0.468727,59766.8,3.647580000000001,8.03925,0.1145913865159329
1130360130_5,0.906343,1228.0,0.461662,63393.6,3.647580000000001,8.57713,0.1142433679836512
1130360130_6,0.667848,1210.0,0.645633,12448.0,3.647580000000001,0.921879,0.1132123387076327
1130360130_8,0.677696,1209.0,0.769282,6293.19,3.647580000000001,0.000226494,0.1126861948222017
1130360130_9,0.902265,1212.0,0.468689,60354.7,3.647580000000001,7.80675,0.1129171482053437
1130360131_0,0.902228,1205.0,0.8631030000000001,3710.61,3.647580000000001,0.0601128,0.1115424477026424
1130360131_1,0.609387,1200.0,0.732,8037.85,3.647580000000001,8.016610000000001e-06,0.1123713136248235
1130360131_2,0.903057,1207.0,0.486372,50430.6,3.647580000000001,6.85611,0.1125685988427743
1130360131_3,0.902175,1208.0,0.892932,3114.2,3.647580000000001,0.203316,0.1124450747143815
1130360131_4,0.654585,1199.0,0.918398,2406.33,3.647580000000001,0.341892,0.1113794583212475
1130360131_5,0.785476,1202.0,0.8284219999999999,4459.51,3.647580000000001,0.0163803,0.1122630927060006
1130360131_6,0.902493,1200.0,0.8229780000000001,4579.32,3.647580000000001,0.00935658,0.1124267981957748
1130360131_7,0.527742,1212.0,0.748275,7265.52,3.647580000000001,1.18729e-05,0.1122898439943075
1130360131_8,0.902123,1209.0,0.469645,59356.8,3.647580000000001,7.76723,0.1127001119928412
1130360132_0,0.902291,1211.0,0.501893,22827.0,3.647580000000001,9.96343,0.1133465010969335
1130360132_1,0.673014,1208.0,0.770228,6290.19,3.647580000000001,0.000192082,0.1124732746863138
1130360132_2,0.88649,1203.0,0.4703279999999999,59324.6,3.647580000000001,7.61591,0.1110961853893993
1130360133_0,0.902703,1199.0,0.460818,63985.9,3.647580000000001,8.24945,0.1133179629520266
1130360134_0,0.90274,1179.0,0.952266,1638.85,3.647580000000001,0.705964,0.1106557955979796
1130360135_1,0.901102,1185.0,0.49862,23371.3,3.647580000000001,9.73536,0.1125327188079638
1130360137_0,0.488588,1021.0,0.4848659999999999,50570.9,3.647580000000001,5.07423,0.1053208987283056
1130360138_0,0.283023,540.0,0.424307,69356.9,3.647580000000001,3.04833,0.0759596800251692
1130360138_1,0.279157,543.4,0.423109,71177.4,3.647580000000001,3.07588,0.0772224961127018
1130360143_1,0.056531,272.0,0.39103,74042.7,3.647580000000001,1.27151,0.049804720511118
