ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
80146-01-60-00,H 1743-322,B,high,5.372999999999999,4.7,8.1,9.4,"(0.014, 0.014)","(0.1, 0.1)","(0.1, 0.1)",543,16
80146-01-62-00,H 1743-322,B,high,4.5489999999999995,3.1,6.7,7.4,"(0.022, 0.022)","(0.2, 0.2)","(0.1, 0.1)",544,16
80146-01-65-00,H 1743-322,B,high,4.938,4.9,5.8,7.6,"(0.012, 0.012)","(0.1, 0.1)","(0.1, 0.1)",545,16
80146-01-66-00,H 1743-322,B,high,5.16,4.9,6.3,8.0,"(0.027, 0.027)","(0.2, 0.3)","(0.3, 0.3)",546,16
80146-01-67-00,H 1743-322,B,high,5.152,4.7,6.8,8.3,"(0.034, 0.03)","(0.3, 0.3)","(0.3, 0.4)",547,16
80146-01-68-00,H 1743-322,B,high,5.3229999999999995,4.9,8.3,9.6,"(0.029, 0.029)","(0.7, 0.7)","(0.6, 0.6)",548,16
80146-01-69-00,H 1743-322,B,high,5.3629999999999995,4.9,6.9,8.4,"(0.02, 0.02)","(0.4, 0.3)","(0.3, 0.2)",549,16
94413-01-03-02,H 1743-322,B,high,3.752,4.9,0.0,4.9,"(0.03, 0.03)","(0,0)","(0.2, 0.2)",550,16
94413-01-03-03,H 1743-322,B,high,3.728,5.1,5.1,5.1,"(0.022, 0.022)","(0.2, 0.2)","(0.2, 0.2)",551,16
95360-14-04-00,H 1743-322,B,high,3.563,5.5,2.8,6.2,"(0.014, 0.014)","(0.1, 0.1)","(0.1, 0.1)",552,16
95405-01-01-01,H 1743-322,B,high,1.608,3.8,4.0,5.5,"(0.043, 0.043)","(0.4, 0.5)","(0.4, 0.4)",553,16
95405-01-02-00,H 1743-322,B,high,1.939,6.9,5.8,6.9,"(0.035, 0.035)","(0.3, 0.3)","(0.4, 0.4)",554,16
95405-01-02-04,H 1743-322,B,high,2.346,6.1,0.0,6.1,"(0.062, 0.062)","(0,0)","(0.5, 0.5)",555,16
95405-01-02-05,H 1743-322,B,high,1.8319999999999999,6.0,5.8,8.3,"(0.025, 0.025)","(1.0, 1.0)","(0.8, 0.8)",556,16
95108-01-27-00,MAXI J1659-15,B,high,3.888,4.7,6.0,7.7,"(0.013, 0.013)","(0.4, 0.4)","(0.3, 0.3)",557,4
95108-01-28-00,MAXI J1659-15,B,high,4.103,5.5,9.1,15.6,"(0.02, 0.02)","(0.6, 0.4)","(0.8, 0.8)",558,4
95118-01-01-01,MAXI J1659-15,B,high,3.8569999999999998,5.8,6.1,8.4,"(0.016, 0.016)","(1.3, 0.9)","(0.9, 0.7)",559,4
95118-01-02-00,MAXI J1659-15,B,high,3.469,4.5,3.5,5.7,"(0.035, 0.034)","(0.3, 0.3)","(0.2, 0.2)",560,4
95118-01-07-00,MAXI J1659-15,B,high,3.287,6.4,7.3,9.7,"(0.015, 0.015)","(0.8, 0.8)","(0.6, 0.6)",561,4
95118-01-09-00,MAXI J1659-15,B,high,5.08,2.7,6.9,7.4,"(0.16, 0.16)","(0.4, 0.4)","(0.4, 0.4)",562,4
95118-01-10-00,MAXI J1659-15,B,high,3.5639999999999996,6.1,9.5,11.3,"(0.017, 0.017)","(0.8, 0.9)","(0.7, 0.8)",563,4
95118-01-12-00,MAXI J1659-15,B,high,1.972,5.0,4.5,6.7,"(0.04, 0.04)","(0.6, 0.8)","(0.5, 0.6)",564,4
