ID,source,type,inclination,freq,qpo_rms,noise_rms,total_rms,freq_err,noise_err,total_err,number,class
90110-02-01-02,GX 339-4,C,low,5.187,11.0,17.1,20.3,"(0.023, 0.024)","(1.2, 2.1)","(1.0, 1.8)",84,0
90704-01-01-00,GX 339-4,C,low,0.741,10.0,29.4,31.0,"(0.012, 0.014)","(1.1, 1.1)","(1.0, 1.1)",85,0
90704-01-11-00,GX 339-4,C,low,2.675,5.7,30.6,31.1,"(0.037, 0.037)","(0.8, 0.8)","(0.8, 0.8)",86,0
92035-01-02-01,GX 339-4,C,low,0.261,10.0,38.8,40.1,"(0.002, 0.002)","(1.1, 1.2)","(1.1, 1.2)",87,0
92035-01-02-02,GX 339-4,C,low,0.293,10.5,36.1,37.6,"(0.003, 0.003)","(1.1, 1.2)","(1.1, 1.2)",88,0
92035-01-02-03,GX 339-4,C,low,0.359,10.0,37.8,39.1,"(0.002, 0.002)","(2.4, 2.1)","(2.3, 2.1)",89,0
92035-01-02-04,GX 339-4,C,low,0.425,12.6,37.3,39.4,"(0.002, 0.002)","(0.6, 0.6)","(0.7, 0.7)",90,0
92035-01-02-06,GX 339-4,C,low,1.99,10.1,26.3,28.1,"(0.003, 0.004)","(0.7, 0.8)","(0.7, 0.7)",91,0
92035-01-02-07,GX 339-4,C,low,0.894,11.6,31.3,33.4,"(0.003, 0.003)","(2.1, 1.1)","(2.0, 1.0)",92,0
92035-01-03-00,GX 339-4,C,low,2.266,9.5,27.9,29.4,"(0.004, 0.004)","(2.5, 2.4)","(2.3, 2.3)",93,0
92035-01-03-01,GX 339-4,C,low,1.679,8.6,26.0,27.4,"(0.004, 0.004)","(1.4, 0.6)","(1.3, 0.6)",94,0
92035-01-03-02,GX 339-4,C,low,2.451,8.6,23.4,25.0,"(0.004, 0.004)","(0.4, 0.4)","(0.4, 0.4)",95,0
92035-01-03-03,GX 339-4,C,low,3.513,7.9,22.2,24.6,"(0.006, 0.006)","(0.7, 0.6)","(0.6, 0.6)",96,0
92035-01-03-05,GX 339-4,C,low,5.684,7.8,14.9,18.6,"(0.023, 0.023)","(1.6, 1.8)","(1.4, 1.5)",97,0
92085-01-03-00,GX 339-4,C,low,7.854,4.0,16.1,16.6,"(0.117, 0.116)","(1.2, 1.2)","(1.1, 1.1)",98,0
92085-01-03-02,GX 339-4,C,low,7.417000000000001,6.1,14.9,16.1,"(0.064, 0.064)","(0.6, 0.7)","(0.5, 0.6)",99,0
92085-01-03-03,GX 339-4,C,low,7.869,3.7,15.6,16.1,"(0.19, 0.168)","(1.0, 1.1)","(0.9, 1.1)",100,0
92428-01-04-00,GX 339-4,C,low,4.325,9.4,17.9,22.2,"(0.007, 0.007)","(1.0, 1.1)","(0.9, 1.0)",101,0
92428-01-04-01,GX 339-4,C,low,4.229,8.1,20.6,22.1,"(0.009, 0.009)","(0.5, 0.5)","(0.5, 0.5)",102,0
92428-01-04-02,GX 339-4,C,low,4.126,8.0,21.9,23.3,"(0.01, 0.01)","(0.5, 0.5)","(0.5, 0.5)",103,0
92428-01-04-03,GX 339-4,C,low,4.984,8.2,16.9,18.8,"(0.011, 0.011)","(0.8, 0.9)","(0.8, 0.8)",104,0
92704-03-11-01,GX 339-4,C,low,0.655,6.5,29.1,29.1,"(0.031, 0.031)","(0.6, 0.6)","(0.6, 0.6)",105,0
92704-03-12-01,GX 339-4,C,low,2.715,5.4,32.1,32.6,"(0.041, 0.042)","(1.4, 1.5)","(1.4, 1.4)",106,0
95409-01-13-01,GX 339-4,C,low,0.37799999999999995,11.6,35.8,37.6,"(0.004, 0.004)","(1.9, 2.3)","(1.8, 2.3)",107,0
95409-01-13-02,GX 339-4,C,low,0.321,12.0,40.9,42.6,"(0.004, 0.004)","(1.0, 1.0)","(1.0, 1.0)",108,0
95409-01-13-03,GX 339-4,C,low,0.226,10.8,41.0,42.4,"(0.002, 0.002)","(1.9, 1.0)","(1.9, 1.0)",109,0
95409-01-13-04,GX 339-4,C,low,0.29,9.5,41.9,43.0,"(0.002, 0.002)","(3.5, 3.5)","(3.4, 3.4)",110,0
