observation_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1050360105_19,32019.028936499006,453182.5750715391,1390049.5533851513,1137638.884809094,846261.4265802425,683335.6387306999,507160.56308620924,358505.8513025712,248609.1767292744,172436.50917509827,119242.59133902105,84296.03413060392,59763.127472517124,38633.185271074806,25938.240086469188,17419.342566445473,11845.95199759423,7742.817865543884,5041.0218998194
1050360105_2,11469.555930866805,157845.1668066845,490823.048142075,404079.361693686,301727.35262915015,242112.3699386946,178466.250421377,125763.49641599333,85858.72983472922,59016.04245981418,40548.5525862463,28444.179805265478,19866.678033002845,12876.716672406812,8518.70397923794,5858.851274443127,3856.736593314323,2580.1268837443877,1619.4307400867633
1050360105_21,2964.2262117045275,41204.12580630691,128459.3411845308,105706.63546233272,78294.45032213574,63489.1074192014,46731.9537816627,32973.56294617793,22658.9635483925,15932.222508049701,10872.118641997498,7662.189258949952,5512.039819767473,3523.718975365136,2356.3822215547307,1666.6371742905949,1051.8858660709143,655.208456914716,495.3533815831135
1050360105_23,3303.4521480720427,45963.82223250478,144683.10351509668,120205.5504873069,89036.13596100034,72147.43442887126,53329.414103325704,37058.13410006774,25478.26984178411,17334.232907362482,12210.128154955279,8323.830083628896,5913.416434916043,3838.880097909078,2517.104088901784,1738.6590253010754,1143.9586086924119,722.1362201676625,479.1191064039894
1050360105_26,6699.1312962855945,97068.29445591671,302094.32775332587,248029.94173892064,185213.03180141828,149644.095113258,110959.76903052109,78724.98511606509,54176.75084095711,37514.93638340012,25810.101221075984,18264.75339916488,12829.477806839355,8336.873502754703,5529.741596948819,3832.336650717631,2474.0149421342676,1647.685996429454,1061.996767765031
1050360105_28,26813.00718810256,387301.1009980679,1178372.1957477138,960964.0366039868,712869.0703212224,579117.6134435076,434425.84244811,312969.880542272,218244.03709137655,152635.10814665706,107977.05550270122,76875.80469786387,54834.39229335675,36274.30668156913,24124.6159872991,16445.92358649011,11234.918651203167,7298.203155821578,4628.786484295704
1050360105_29,27673.527942180226,405859.43345691025,1224218.0294655631,991146.3596358002,734908.547153415,600625.8189945392,454804.46414604277,325305.7766556758,229973.52908785982,162453.63652964006,114401.4935978451,81827.0705491152,58249.44047364788,38322.26314210537,25835.817121709188,18074.48517286111,11938.129041896937,7979.060730838668,5068.686094505726
1050360105_4,4055.8447887458833,57688.078075825135,179700.17075607064,147988.3176556883,110550.74081324492,89212.73833980382,65782.93020242346,45877.101493213515,31537.535961720732,21449.92199996815,14947.694640232688,10334.233095427238,7375.793929619193,4747.170713665205,3081.253513501451,2065.0638301673175,1387.6040412778952,888.4231442014792,561.5785092109684
1050360106_0,28623.291806550194,416362.12525372184,1253776.6883553297,1015402.7371924192,752893.0526738913,615805.2833384095,464763.4345197356,334706.1401310856,236434.30315229148,166269.38412758103,118130.75633777367,84051.08086386416,60317.85942806103,39670.89564046226,27027.227171653583,18476.595545026594,12273.117793247566,7947.363141346917,5197.697346684598
1050360106_1,28912.852894893815,417933.95022264606,1258951.5905299694,1016833.9141462119,756321.5986935984,616399.6908674458,465544.0743000882,334656.18452127284,236397.6297992242,166514.58118274185,117680.94443443308,83751.19019605953,60251.75662859159,39601.85910192551,26714.525230749095,18699.268754255976,12329.012578919761,8120.128991138824,5367.475178152527
