filename_code,MET_start,MET_end,MJD_mid,interval_time(s),ObsID(RXTE),number_PCUs,which_PCUs(string),spec_filename,spec_MJD,spec_exposure(s),PCA_crate_raw(c/s/PCU),PCA_crate_normalized(c/s/PCU),soft_color(3.6-5.0/2.2-3.6_keV),err_soft_col,hard_color(8.6-18.0/5.0-8.6_keV),err_hard_col,PDS_name,PDS_integrated_rms_(0.1_10Hz),err_PDS_rms,PDS_low_chan_PCU2_0_255,PDS_high_chan_PCU2_0_255,PDS_source_crate(c/s/PCU),sample_std_dev_PDS_source_crate(c/s/PCU),deadtime_correction,average_pointing_offset(deg)
d1195_a,103292963.4,103294503.4,50548.52932,1540,20402-02-07-00,5,1234,bs.s1655_1195_a.2.pha,50548.52948,1488,2774.57,2732.54,0.854,0.005,0.111,0.005,seg1195_a_rsfft.asc,0.0288,0.0007,1,94,2724.215,106.795,1.054,0.005
d1195_b,103296563.4,103297863.4,50548.5696,1300,20402-02-07-00,5,1234,bs.s1655_1195_b.2.pha,50548.56957,1296,2767.07,2725.1,0.854,0.005,0.116,0.005,seg1195_b_rsfft.asc,0.0317,0.0008,1,94,2713.166,106.287,1.05,0.003
d1201_a,103832963.4,103837084.4,50554.79426,4121,20402-02-08-00,5,1234,bs.s1655_1201_a.2.pha,50554.79429,4080,2578.56,2544.16,0.857,0.005,0.078,0.005,seg1201_a_rsfft.asc,0.0296,0.0004,1,94,2537.166,66.318,1.045,0.004
d1201_b,103839027.4,103842844.4,50554.86268,3817,20402-02-08-00,5,1234,bs.s1655_1201_b.2.pha,50554.86263,3792,2587.1,2553.49,0.855,0.005,0.076,0.005,seg1201_b_rsfft.asc,0.0289,0.0005,1,94,2544.959,68.094,1.044,0.004
d1201_c,103844963.4,103845603.4,50554.913,640,20402-02-08-00,5,1234,bs.s1655_1201_c.2.pha,50554.91291,608,2575.18,2542.18,0.851,0.005,0.078,0.005,seg1201_c_rsfft.asc,0.0309,0.001,1,94,2531.95,68.35,1.045,0.004
d1209_a,104526515.4,104528052.4,50562.80653,1537,20402-02-09-00,5,1234,bs.s1655_1209_a.2.pha,50562.80652,1520,2633.7,2599.91,0.855,0.005,0.079,0.005,seg1209_a_rsfft.asc,0.0292,0.0007,1,94,2587.663,68.706,1.046,0.005
d1215_a,105026199.4,105029037.4,50568.59744,2838,20402-02-10-00,5,1234,bs.s1655_1215_a.2.pha,50568.59744,2816,2688.46,2654.2,0.868,0.005,0.08,0.005,seg1215_a_rsfft.asc,0.0322,0.0005,1,94,2642.634,76.691,1.046,0.005
d1215_b,105031961.4,105032763.4,50568.65234,802,20402-02-10-00,5,1234,bs.s1655_1215_b.2.pha,50568.65235,784,2739.25,2704.48,0.872,0.005,0.081,0.005,seg1215_b_rsfft.asc,0.0308,0.001,1,94,2690.381,72.563,1.045,0.005
d1223_a,105707123.4,105708421.4,50576.46959,1298,20402-02-11-00,5,1234,bs.s1655_1223_a.2.pha,50576.46957,1296,2927.42,2889.12,0.879,0.005,0.086,0.005,seg1223_a_rsfft.asc,0.0317,0.0007,1,94,2878.98,83.753,1.05,0.006
d1223_b,105711811.4,105714601.4,50576.53248,2790,20402-02-11-00,4,123,bs.s1655_1223_b.2.pha,50576.53235,2768,2903.27,2865.56,0.887,0.005,0.086,0.005,seg1223_b_rsfft.asc,0.0319,0.0006,1,94,2878.021,90.923,1.05,0.006
d1227_a,106069053.4,106072504.4,50580.67105,3451,20402-02-12-00,5,1234,bs.s1655_1227_a.2.pha,50580.67115,3392,2920.2,2882.86,0.884,0.005,0.088,0.005,seg1227_a_rsfft.asc,0.0354,0.0005,1,94,2870.32,89.047,1.052,0.006
d1227_b,106074739.4,106076583.4,50580.72756,1844,20402-02-12-00,5,1234,bs.s1655_1227_b.2.pha,50580.72753,1824,2974.35,2936.62,0.879,0.005,0.087,0.005,seg1227_b_rsfft.asc,0.0324,0.0006,1,94,2922.953,80.072,1.055,0.006
d1235_a,106734515.4,106735083.4,50588.35647,568,20402-02-13-00,5,1234,bs.s1655_1235_a.2.pha,50588.35647,0,0,0,-99,99,-99,99,seg1235_a_rsfft.asc,0.0375,0.0011,1,94,3143.618,107.579,1.053,0.006
d1235_b,106737331.4,106740844.4,50588.40611,3513,20402-02-13-00,5,1234,bs.s1655_1235_b.2.pha,50588.40605,3488,3222.41,3179.87,0.888,0.005,0.099,0.005,seg1235_b_rsfft.asc,0.0353,0.0005,1,94,3162.063,133.298,1.056,0.006
d1235_c,106743091.4,106743603.4,50588.45541,512,20402-02-13-00,5,1234,bs.s1655_1235_c.2.pha,50588.45531,496,3211.15,3168.24,0.888,0.005,0.099,0.005,seg1235_c_rsfft.asc,0.0365,0.0012,1,94,3151.432,112.303,1.059,0.005
d1243_a,107422947.4,107426644.4,50596.34255,3697,20402-02-14-00,4,123,bs.s1655_1243_a.2.pha,50596.34263,3680,3374.92,3330.65,0.894,0.005,0.122,0.005,seg1243_a_rsfft.asc,0.0374,0.0005,1,94,3341.278,168.774,1.06,0.006
d1243_b,107428579.4,107431803.4,50596.40499,3224,20402-02-14-00,4,123,bs.s1655_1243_b.2.pha,50596.40494,3216,3384.22,3338.84,0.892,0.005,0.133,0.005,seg1243_b_rsfft.asc,0.0393,0.0005,1,94,3351.528,180.154,1.06,0.006
d1251_a,108109587.4,108111963.4,50604.28212,2376,20402-02-15-00,5,1234,bs.s1655_1251_a.2.pha,50604.28207,2352,3084.62,3047.93,0.875,0.005,0.101,0.005,seg1251_a_rsfft.asc,0.0346,0.0006,1,94,3020.947,133.228,1.056,0.007
d1251_b,108114451.4,108117722.4,50604.3436,3271,20402-02-15-00,5,1234,bs.s1655_1251_b.2.pha,50604.34355,3248,3109.03,3072.14,0.879,0.005,0.1,0.005,seg1251_b_rsfft.asc,0.0345,0.0005,1,94,3044.238,154.676,1.054,0.006
d1255_a,108466643.4,108469071.4,50608.41502,2428,20402-02-16-01,5,1234,bs.s1655_1255_a.2.pha,50608.41494,2400,2949.23,2915.54,0.874,0.005,0.089,0.005,seg1255_a_rsfft.asc,0.0313,0.0005,1,94,2888.087,97.423,1.05,0.007
d1255_b,108477916.4,108481443.4,50608.55185,3527,20402-02-16-00,5,1234,bs.s1655_1255_b.2.pha,50608.55198,3472,2922.96,2889.34,0.877,0.005,0.09,0.005,seg1255_b_rsfft.asc,0.0339,0.0005,1,94,2866.114,109.02,1.049,0.007
d1265_a,109325325.4,109327331.4,50618.35102,2006,20402-02-17-00,5,1234,bs.s1655_1265_a.2.pha,50618.35115,1952,2688.16,2654.34,0.858,0.005,0.113,0.005,seg1265_a_rsfft.asc,0.027,0.0006,1,94,2635.633,99.033,1.047,0.007
d1272_a,109972135.4,109974099.4,50625.83701,1964,20402-02-18-00,5,1234,bs.s1655_1272_a.2.pha,50625.83707,1904,2223.66,2200.79,0.826,0.005,0.071,0.005,seg1272_a_rsfft.asc,0.0269,0.0007,1,94,2179.042,60.039,1.046,0.006
d1272_b,109976371.4,109976751.4,50625.87687,380,20402-02-18-00,4,123,bs.s1655_1272_b.2.pha,50625.87679,368,2220.61,2198.91,0.829,0.005,0.072,0.005,seg1272_b_rsfft.asc,0.0253,0.001,1,94,2197.497,50.688,1.044,0.005
d1280_a,110633717.4,110636634.4,50633.49972,2917,20402-02-19-00,5,1234,bs.s1655_1280_a.2.pha,50633.49976,2880,1880.3,1862.19,0.8,0.005,0.08,0.005,seg1280_a_rsfft.asc,0.0264,0.0006,1,94,1842.338,62.916,1.04,0.006
d1280_b,110638883.4,110641084.4,50633.55537,2201,20402-02-19-00,5,1234,bs.s1655_1280_b.2.pha,50633.55531,2192,1845.52,1827.83,0.798,0.005,0.076,0.005,seg1280_b_rsfft.asc,0.0288,0.0007,1,94,1808.428,62.688,1.042,0.006
d1284_a,110979092.4,110982305.4,50637.49883,3213,20402-02-20-00,5,1234,bs.s1655_1284_a.2.pha,50637.49883,3152,1869.07,1849.83,0.796,0.005,0.113,0.005,seg1284_a_rsfft.asc,0.0243,0.0006,1,94,1830.865,55.84,1.04,0.006
d1284_b,110984611.4,110988079.4,50637.56418,3468,20402-02-20-00,5,1234,bs.s1655_1284_b.2.pha,50637.56411,3440,1828.59,1808.39,0.81,0.005,0.118,0.005,seg1284_b_rsfft.asc,0.0211,0.0006,1,94,1790.915,55.003,1.039,0.006
d1284_c,110991331.4,110993644.4,50637.63528,2313,20402-02-20-00,5,1234,bs.s1655_1284_c.2.pha,50637.63522,2304,1896.49,1875.89,0.805,0.005,0.123,0.005,seg1284_c_rsfft.asc,0.0206,0.0007,1,94,1856.123,60.985,1.039,0.006
d1290a_a,111474275.4,111477774.4,50643.23177,3499,20402-02-21-00,5,1234,bs.s1655_1290a_a.2.pha,50643.2317,3456,1728.82,1712.92,0.782,0.005,0.083,0.005,seg1290a_a_rsfft.asc,0.0212,0.0006,1,94,1693.461,53.397,1.038,0.005
d1290a_b,111480019.4,111480904.4,50643.28312,885,20402-02-21-00,5,1234,bs.s1655_1290a_b.2.pha,50643.28309,880,1654.37,1639.08,0.773,0.005,0.082,0.005,seg1290a_b_rsfft.asc,0.0234,0.0011,1,94,1620.926,50.864,1.043,0.004
d1290b_a,111493033.4,111495102.4,50643.4406,2069,20402-02-21-01,5,1234,bs.s1655_1290b_a.2.pha,50643.44068,2032,1719.35,1704.64,0.781,0.005,0.075,0.005,seg1290b_a_rsfft.asc,0.0197,0.0008,1,94,1681.314,45.423,1.036,0.006
d1290b_b,111497491.4,111498244.4,50643.48458,753,20402-02-21-01,5,1234,bs.s1655_1290b_b.2.pha,50643.48457,736,1695.01,1679.51,0.774,0.005,0.073,0.005,seg1290b_b_rsfft.asc,0.0224,0.0012,1,94,1659.728,49.439,1.044,0.005
d1300_a,112363602.4,112365544.4,50653.5159,1942,20402-02-22-00,5,1234,bs.s1655_1300_a.2.pha,50653.51605,1888,1182.35,1173.69,0.724,0.005,0.141,0.005,seg1300_a_rsfft.asc,0.0171,0.001,1,94,1159.884,30.313,1.027,0.006
d1300_b,112368211.4,112371305.4,50653.57591,3094,20402-02-22-00,5,1234,bs.s1655_1300_b.2.pha,50653.57587,3088,1166.9,1158.63,0.725,0.005,0.132,0.005,seg1300_b_rsfft.asc,0.0178,0.0008,1,94,1147.153,27.892,1.028,0.005
d1300_c,112374147.4,112375144.4,50653.63248,997,20402-02-22-00,5,1234,bs.s1655_1300_c.2.pha,50653.63244,976,1159.42,1150.44,0.723,0.005,0.139,0.005,seg1300_c_rsfft.asc,0.0166,0.0013,1,94,1145.304,25.406,1.029,0.005
d1305_a,112782355.4,112785953.4,50658.37216,3598,20402-02-23-00,5,1234,bs.s1655_1305_a.2.pha,50658.37216,3568,830.41,824.49,0.674,0.005,0.18,0.005,seg1305_a_rsfft.asc,0.0156,0.001,1,94,814.413,19.314,1.024,0.005
d1305_b,112788147.4,112788424.4,50658.41998,277,20402-02-23-00,5,1234,bs.s1655_1305_b.2.pha,50658.41994,272,820.78,815.24,0.671,0.005,0.186,0.005,seg1305_b_rsfft.asc,0.0194,0.003,1,94,814.757,16.941,1.027,0.003
d1310_a,113241406.4,113242024.4,50663.668,618,20402-02-24-00,3,12,bs.s1655_1310_a.2.pha,50663.66809,592,467.88,466.63,0.599,0.005,0.172,0.005,seg1310_a_rsfft.asc,0.0248,0.004,1,94,467.346,13.518,1.022,0.004
d1321_a,114172291.4,114175263.4,50674.45576,2972,20402-02-25-00,5,1234,bs.s1655_1321_a.2.pha,50674.45578,2944,222.35,213.03,0.882,0.005,0.674,0.005,seg1321_a_rsfft.asc,0.1895,0.0018,1,94,216.266,13.372,1.016,0.003
d1325_a,114528931.4,114532443.4,50678.58666,3512,20402-02-26-00,5,1234,bs.s1655_1325_a.2.pha,50678.58679,3456,66.71,62.17,1.025,0.008,0.844,0.005,seg1325_a_rsfft.asc,0.2051,0.0033,1,94,64.469,8.035,1.016,0.003
d1332_a,115122339.4,115125843.4,50685.45476,3504,20402-02-27-00,4,123,bs.s1655_1332_a.2.pha,50685.45466,3472,8.42,7.62,0.715,0.02,0.777,0.03,seg1332_a_rsfft.asc,0.2551,0.0297,1,94,7.314,3.167,1.016,0.002
d1336_a,115444948.4,115447684.4,50689.18422,2736,20402-02-28-01,4,123,bs.s1655_1336_a.2.pha,50689.18448,2688,4.71,4.11,0.558,0.03,0.719,0.062,seg1336_a_rsfft.asc,0.3874,0.0586,1,94,3.626,2.499,1.015,0.003
d1336_b,115447939.4,115448462.4,50689.20603,523,20402-02-28-01,4,123,bs.s1655_1336_b.2.pha,50689.20605,496,3.95,3.87,0.548,0.067,0.494,0.139,seg1336_b_rsfft.asc,0.7492,0.1239,1,94,3.094,2.321,1.015,0.002
d1339_a,115692692.4,115694704.4,50692.04744,2012,20402-02-28-00,4,123,bs.s1655_1339_a.2.pha,50692.04744,1968,3.96,3.37,0.555,0.041,0.753,0.094,seg1339_a_rsfft.asc,0.5006,0.0757,1,94,3.376,2.322,1.014,0.002
d1339_b,115695619.4,115696200.4,50692.07303,581,20402-02-28-00,5,1234,bs.s1655_1339_b.2.pha,50692.073,576,2.78,3.01,0.599,0.079,0.688,0.209,seg1339_b_rsfft.asc,0.8106,0.1486,1,94,2.305,1.955,1.012,0.002
d1339_c,115698435.4,115700884.4,50692.11643,2449,20402-02-28-00,5,1234,bs.s1655_1339_c.2.pha,50692.11642,2448,4.09,3.43,0.555,0.033,0.628,0.081,seg1339_c_rsfft.asc,0.4213,0.0629,1,94,3.44,2.149,1.015,0.002
d1339_d,115701139.4,115701962.4,50692.13832,823,20402-02-28-00,5,1234,bs.s1655_1339_d.2.pha,50692.13828,816,3.49,3.2,0.593,0.061,0.539,0.151,seg1339_d_rsfft.asc,0.7642,0.1031,1,94,2.855,2.003,1.014,0.002
d1339_e,115704211.4,115705383.4,50692.1759,1172,20402-02-28-00,5,1234,bs.s1655_1339_e.2.pha,50692.17587,1168,4.37,3.44,0.582,0.055,0.702,0.112,seg1339_e_rsfft.asc,0.46,0.0663,1,94,4.074,2.396,1.018,0.001
d1349_a,116574211.4,116577842.4,50702.25957,3631,20402-02-29-00,5,1234,bs.s1655_1349_a.2.pha,50702.25957,3600,2.51,2.44,0.555,0.036,0.487,0.081,seg1349_a_rsfft.asc,0.8472,0.1012,1,94,1.705,2.326,1.024,0.001
d1349_b,116580387.4,116583243.4,50702.32657,2856,20402-02-29-00,5,1234,bs.s1655_1349_b.2.pha,50702.32652,2848,2.08,2.2,0.578,0.045,0.427,0.102,seg1349_b_rsfft.asc,0.8682,0.1212,1,94,1.628,2.218,1.021,0.001
d4069_a,351638685.4,351642050.4,53422.91167,3365,90058-16-02-00,2,2,bs.s1655_4069_a.2.pha,53422.91179,3312,28.75,28.41,1.149,0.016,0.864,0.01,seg4069_a_rsfft.asc,0.2668,0.0094,0,95,31.156,8.959,1.01,0.002
d4071_a,351735120.4,351737282.4,53424.02085,2162,90058-16-03-00,2,2,bs.s1655_4071_a.2.pha,53424.02096,2112,28.58,28.45,1.329,0.025,0.871,0.012,seg4071_a_rsfft.asc,0.2708,0.0122,1,92,29.762,8.786,1.01,0.002
d4071_b,351737411.4,351738545.4,53424.04142,1134,90058-16-03-00,2,2,bs.s1655_4071_b.2.pha,53424.04133,1120,28.7,28.16,1.372,0.036,0.906,0.017,seg4071_b_rsfft.asc,0.2493,0.0148,1,92,32.22,9.047,1.013,0.002
d4072_a,351825657.4,351829156.4,53425.07647,3499,90058-16-04-00,3,23,bs.s1655_4072_a.2.pha,53425.0767,3456,35.73,35.28,1.182,0.014,0.891,0.008,seg4072_a_rsfft.asc,0.2673,0.0066,1,92,36.524,9.659,1.012,0.002
d4073_a,351910596.4,351914105.4,53426.05962,3509,90428-01-01-00,3,23,bs.s1655_4073_a.2.pha,53426.05966,3488,42.73,42.27,1.188,0.013,0.888,0.007,seg4073_a_rsfft.asc,0.271,0.0058,1,92,43.947,10.78,1.012,0.002
d4073_b,351916291.4,351919570.4,53426.1242,3279,90428-01-01-00,3,23,bs.s1655_4073_b.2.pha,53426.12411,3264,43.48,42.9,1.191,0.013,0.888,0.008,seg4073_b_rsfft.asc,0.2656,0.0058,1,92,45.266,11.079,1.013,0.002
d4073_c,351921923.4,351925445.4,53426.19079,3522,90428-01-01-00,3,23,bs.s1655_4073_c.2.pha,53426.19078,3504,43.94,43.53,1.171,0.012,0.89,0.007,seg4073_c_rsfft.asc,0.2689,0.0056,1,92,45.745,11.258,1.013,0.002
d4073_d,351927629.4,351929415.4,53426.24679,1786,90428-01-01-00,5,1234,bs.s1655_4073_d.2.pha,53426.24679,1776,44.48,44.04,1.169,0.017,0.884,0.01,seg4073_d_rsfft.asc,0.2788,0.0061,1,92,45.059,11.142,1.012,0.002
d4073_e,351929516.4,351929820.4,53426.26005,304,90428-01-01-00,4,124,bs.s1655_4073_e.2.pha,53426.26003,288,46.1,44.02,1.166,0.043,0.898,0.025,seg4073_e_rsfft.asc,0.2586,0.0102,1,92,48.593,10.608,1.014,0.001
d4073_f,351929914.4,351930258.4,53426.26489,344,90428-01-01-00,3,12,bs.s1655_4073_f.2.pha,53426.26485,320,44.16,43.46,1.174,0.042,0.887,0.024,seg4073_f_rsfft.asc,0.2501,0.009,1,92,49.384,10.979,1.017,0.001
d4073_g,351930281.4,351931090.4,53426.27183,809,90428-01-01-00,2,2,bs.s1655_4073_g.2.pha,53426.27179,784,46.12,45.14,1.181,0.026,0.89,0.015,seg4073_g_rsfft.asc,0.2455,0.013,1,92,52.41,12.436,1.015,0.002
d4074a_a,351995772.4,351998082.4,53427.03851,2310,90058-16-05-00,3,23,bs.s1655_4074a_a.2.pha,53427.03855,2272,52.38,51.54,1.227,0.015,0.904,0.008,seg4074a_a_rsfft.asc,0.2755,0.0063,1,92,53.245,12.409,1.012,0.002
d4074a_b,351998211.4,351998585.4,53427.05554,374,90058-16-05-00,3,23,bs.s1655_4074a_b.2.pha,53427.0555,368,54.84,54.08,1.219,0.036,0.894,0.019,seg4074a_b_rsfft.asc,0.2775,0.0032,1,92,57.223,13.42,1.015,0.002
