filename_code,MET_start,MET_end,MJD_mid,interval_time(s),ObsID(RXTE),number_PCUs,which_PCUs(string),spec_filename,spec_MJD,spec_exposure(s),PCA_crate_raw(c/s/PCU),PCA_crate_normalized(c/s/PCU),soft_color(3.6-5.0/2.2-3.6_keV),err_soft_col,hard_color(8.6-18.0/5.0-8.6_keV),err_hard_col,PDS_name,PDS_integrated_rms_(0.1_10Hz),err_PDS_rms,PDS_low_chan_PCU2_0_255,PDS_high_chan_PCU2_0_255,PDS_source_crate(c/s/PCU),sample_std_dev_PDS_source_crate(c/s/PCU),deadtime_correction,average_pointing_offset(deg)
day1952_b,168666387.4,168667445.4,51305.16338,1058,40401-01-95-00,3,23,bs.s1550_day1952_b.2.pha,51305.16337,1056,12.92,12.66,0.446,0.015,0.578,0.04,seg1952_b_rsfft.asc,0.1845,0.0332,1,94,13.226,3.51,1.018,0.044
day1952_c,168669267.4,168670482.4,51305.19763,1215,40401-01-95-01,3,23,bs.s1550_day1952_c.2.pha,51305.19772,1152,12.92,12.62,0.416,0.014,0.654,0.041,seg1952_c_rsfft.asc,0.1917,0.0333,1,94,12.951,3.302,1.017,0.044
day1954_a,168853460.4,168855026.4,51307.33152,1566,40401-01-96-00,3,23,bs.s1550_day1954_a.2.pha,51307.33152,1536,29.08,29.02,0.837,0.015,0.709,0.014,seg1954_a_rsfft.asc,0.2041,0.0119,1,94,29.593,4.554,1.012,0.044
day1954_b,168859228.4,168861202.4,51307.40064,1974,40401-01-96-01,5,1234,bs.s1550_day1954_b.2.pha,51307.40068,1920,29.6,29.06,0.84,0.014,0.748,0.013,seg1954_b_rsfft.asc,0.1977,0.0073,1,94,31.665,4.208,1.012,0.044
day1956_a,169060580.4,169064333.4,51309.7414,3753,40401-01-97-00,4,234,bs.s1550_day1956_a.2.pha,51309.7417,3648,17.4,17.05,0.822,0.014,0.792,0.014,seg1956_a_rsfft.asc,0.1895,0.0102,1,94,17.243,3.655,1.012,0.045
day1958_a,169215988.4,169217764.4,51311.52866,1776,40401-01-98-00,4,234,bs.s1550_day1958_a.2.pha,51311.52874,1760,9.84,9.33,0.726,0.027,0.774,0.035,seg1958_a_rsfft.asc,0.2303,0.0236,1,94,10.656,2.984,1.011,0.043
day1960_a,169371332.4,169373074.4,51313.32643,1742,40401-01-99-00,4,123,bs.s1550_day1960_a.2.pha,51313.3267,1648,7.48,7.09,0.658,0.032,0.76,0.049,seg1960_a_rsfft.asc,0.2032,0.0295,1,94,9.741,2.824,1.012,0.046
day1965_a,169843891.4,169846564.4,51318.80125,2673,40401-01-99-01,4,234,bs.s1550_day1965_a.2.pha,51318.80124,2640,4.75,4.36,0.602,0.032,0.714,0.06,seg1965_a_rsfft.asc,0.2607,0.0431,1,94,5.035,2.899,1.015,0.042
day2291_a,197983303.4,197986900.4,51644.49424,3597,50137-02-01-00,5,1234,bs.s1550_day2291_a.2.pha,51644.49429,3584,425.26,411.16,1.028,0.005,0.891,0.005,seg2291_a_rsfft.asc,0.29,0.002,5,92,417.218,82.588,1.026,0.046
day2293a_a,198144036.4,198145874.4,51646.34439,1838,50137-02-02-00,3,23,bs.s1550_day2293a_a.2.pha,51646.34457,1776,491.31,475.57,1.029,0.005,0.882,0.005,seg2293a_a_rsfft.asc,0.2911,0.0031,1,94,484.455,96.441,1.027,0.046
day2293b_a,198168036.4,198170704.4,51646.62697,2668,50137-02-02-01,4,234,bs.s1550_day2293b_a.2.pha,51646.62707,2624,498.34,482.58,1.024,0.005,0.882,0.005,seg2293b_a_rsfft.asc,0.2906,0.0024,1,94,490.956,97.086,1.027,0.046
day2295_a,198351748.4,198354483.4,51648.75366,2735,50137-02-03-00,4,234,bs.s1550_day2295_a.2.pha,51648.75365,2704,535.96,519.53,1.029,0.005,0.878,0.005,seg2295_a_rsfft.asc,0.3007,0.0024,1,94,526.828,114.586,1.025,0.046
day2296_a,198439236.4,198440644.4,51649.75857,1408,50137-02-03-01G,5,1234,bs.s1550_day2296_a.2.pha,51649.75883,1360,546.63,530.09,1.031,0.005,0.879,0.005,seg2296_a_rsfft.asc,0.3012,0.0032,1,94,538.778,117.473,1.023,0.048
day2297_a,198524068.4,198526804.4,51650.74811,2736,50137-02-04-00,4,234,bs.s1550_day2297_a.2.pha,51650.74828,2704,566.66,549.69,1.027,0.005,0.878,0.005,seg2297_a_rsfft.asc,0.3078,0.0024,1,94,557.318,125.998,1.025,0.046
day2298_a,198580292.4,198584284.4,51651.40612,3992,50137-02-04-01,4,234,bs.s1550_day2298_a.2.pha,51651.40615,3968,580.27,562.63,1.031,0.005,0.875,0.005,seg2298_a_rsfft.asc,0.2982,0.0019,1,94,570.797,122.287,1.029,0.045
day2299_a,198654932.4,198656930.4,51652.25847,1998,50137-02-05-00,3,23,bs.s1550_day2299_a.2.pha,51652.25865,1920,617.57,599.69,1.026,0.005,0.872,0.005,seg2299_a_rsfft.asc,0.294,0.0028,1,94,608.091,122.908,1.029,0.045
day2300_a,198765812.4,198768123.4,51653.54361,2311,50137-02-05-01,3,23,bs.s1550_day2300_a.2.pha,51653.54374,2272,660.84,642.56,1.019,0.005,0.859,0.005,seg2300_a_rsfft.asc,0.2999,0.0027,1,94,650.048,133.523,1.03,0.046
day2301_a,198868644.4,198871564.4,51654.73732,2920,50137-02-06-00,4,234,bs.s1550_day2301_a.2.pha,51654.73735,2896,690.74,672.9,1.019,0.005,0.857,0.005,seg2301_a_rsfft.asc,0.3032,0.0022,1,94,679.884,142.129,1.025,0.045
day2302_a,198950168.4,198950994.4,51655.66877,826,50137-02-07-00,5,1234,bs.s1550_day2302_a.2.pha,51655.66874,800,709.93,693.53,1.015,0.005,0.848,0.005,seg2302_a_rsfft.asc,0.2958,0.004,1,94,698.822,132.968,1.024,0.046
day2305_a,199203748.4,199204562.4,51658.60365,814,50134-02-01-00,5,1234,bs.s1550_day2305_a.2.pha,51658.60374,768,833,827.41,0.954,0.005,0.756,0.005,seg2305_a_rsfft.asc,0.2749,0.0036,1,94,819.534,91.222,1.03,0.047
day2307_a,199329876.4,199333842.4,51660.08171,3966,50134-02-01-01,3,23,bs.s1550_day2307_a.2.pha,51660.0817,3920,1039.91,1067.75,0.787,0.005,0.575,0.005,seg2307_a_rsfft.asc,0.2053,0.0013,1,94,1024.965,64.421,1.032,0.045
day2309_a,199512136.4,199513233.4,51662.17459,1097,50134-02-02-00,5,1234,bs.s1550_day2309_a.2.pha,51662.17466,1056,2052.72,2149.22,0.742,0.005,0.418,0.005,seg2309_a_rsfft.asc,0.0656,0.0012,1,94,2026.514,38.084,1.053,0.045
day2311a_a,199705658.4,199707882.4,51664.42095,2224,50134-02-02-01,5,1234,bs.s1550_day2311a_a.2.pha,51664.42096,2208,1495.39,1584.48,0.663,0.005,0.342,0.005,seg2311a_a_rsfft.asc,0.0298,0.0008,1,94,1474.261,80.099,1.04,0.044
day2311b_a,199725348.4,199727730.4,51664.64976,2382,50134-02-03-00,5,1234,bs.s1550_day2311b_a.2.pha,51664.64976,2352,1557.15,1647.46,0.675,0.005,0.348,0.005,seg2311b_a_rsfft.asc,0.0265,0.0008,1,94,1540.32,84.406,1.037,0.045
day2311b_b,199729699.4,199730133.4,51664.68885,434,50134-02-03-00,5,1234,bs.s1550_day2311b_b.2.pha,51664.68892,416,1646.2,1740.37,0.685,0.005,0.357,0.005,seg2311b_b_rsfft.asc,0.0236,0.0015,1,94,1626.822,66.226,1.043,0.044
day2312_a,199791768.4,199793923.4,51665.4172,2155,50134-02-03-01,4,124,bs.s1550_day2312_a.2.pha,51665.41726,2112,1243.8,1320.48,0.64,0.005,0.346,0.005,seg2312_a_rsfft.asc,0.0368,0.001,1,94,1227.669,32.461,1.036,0.044
day2314_a,199989784.4,199992274.4,51667.71099,2490,50134-02-04-00,4,234,bs.s1550_day2314_a.2.pha,51667.71096,2464,1067.6,1133.92,0.624,0.005,0.35,0.005,seg2314_a_rsfft.asc,0.0428,0.001,1,94,1049.869,21.432,1.025,0.045
day2315_a,200087528.4,200090512.4,51668.84514,2984,50134-02-04-01,4,234,bs.s1550_day2315_a.2.pha,51668.84513,2944,984.85,1047.29,0.612,0.005,0.351,0.005,seg2315_a_rsfft.asc,0.0452,0.0009,1,94,966.354,20.277,1.024,0.045
day2316_a,200118515.4,200119321.4,51669.19119,806,50134-02-05-00,5,1234,bs.s1550_day2316_a.2.pha,51669.19179,688,953.4,1016.67,0.591,0.005,0.332,0.005,seg2316_a_rsfft.asc,0.041,0.0016,1,94,940.035,19.879,1.029,0.113
day2316_b,200120490.4,200121625.4,51669.21595,1135,50134-02-05-00,5,1234,bs.s1550_day2316_b.2.pha,51669.21596,1104,962.88,1025.59,0.6,0.005,0.346,0.005,seg2316_b_rsfft.asc,0.0434,0.0013,1,94,949.234,18.628,1.028,0.044
day2316_c,200127667.4,200128050.4,51669.29466,383,50134-02-05-00,5,1234,bs.s1550_day2316_c.2.pha,51669.29457,368,947.45,1010.4,0.596,0.005,0.34,0.005,seg2316_c_rsfft.asc,0.0405,0.0022,1,94,935.516,18.588,1.028,0.044
day2317a_a,200235508.4,200238386.4,51670.55726,2878,50134-02-06-00,5,1234,bs.s1550_day2317a_a.2.pha,51670.55735,2832,909.03,963.22,0.622,0.005,0.38,0.005,seg2317a_a_rsfft.asc,0.0481,0.0008,1,94,897.102,38.131,1.023,0.044
day2317b_a,200253798.4,200256633.4,51670.7687,2835,50134-02-07-00,4,234,bs.s1550_day2317b_a.2.pha,51670.76874,2816,876.46,932.35,0.601,0.005,0.359,0.005,seg2317b_a_rsfft.asc,0.0468,0.001,1,94,859.809,19.4,1.023,0.044
day2318_a,200310982.4,200312306.4,51671.42181,1324,50134-02-07-01,5,1234,bs.s1550_day2318_a.2.pha,51671.42179,1296,838.18,893.1,0.588,0.005,0.352,0.005,seg2318_a_rsfft.asc,0.0459,0.0013,1,94,827.444,18.042,1.022,0.044
day2319a_a,200396902.4,200398466.4,51672.41764,1564,50134-02-08-00,5,1234,bs.s1550_day2319a_a.2.pha,51672.41763,1536,787.07,835.7,0.598,0.005,0.379,0.005,seg2319a_a_rsfft.asc,0.0527,0.0012,1,94,777.098,17.511,1.021,0.044
day2319b_a,200444544.4,200446293.4,51672.97013,1749,50134-02-08-01,4,234,bs.s1550_day2319b_a.2.pha,51672.97022,1712,1019.73,1074.59,0.658,0.005,0.405,0.005,seg2319b_a_rsfft.asc,0.0266,0.0014,1,94,1000.33,24.046,1.029,0.044
day2320_a,200482998.4,200484498.4,51673.41375,1500,50134-01-01-00,4,234,bs.s1550_day2320_a.2.pha,51673.41383,1456,958.32,1011.84,0.648,0.005,0.398,0.005,seg2320_a_rsfft.asc,0.0278,0.0015,1,94,938.286,31.638,1.023,0.044
day2321_a,200594398.4,200595186.4,51674.69899,788,50134-01-02-00,5,1234,bs.s1550_day2321_a.2.pha,51674.69892,768,965.93,1012.55,0.674,0.005,0.448,0.005,seg2321_a_rsfft.asc,0.092,0.0019,1,94,952.3,25.359,1.024,0.044
day2322_a,200660548.4,200662962.4,51675.47402,2414,50134-01-03-00,5,1234,bs.s1550_day2322_a.2.pha,51675.47402,2384,722.53,752.88,0.687,0.005,0.493,0.005,seg2322_a_rsfft.asc,0.0972,0.001,1,94,712.238,27.546,1.02,0.043
day2323_a,200741664.4,200743053.4,51676.40693,1389,50134-01-04-00,4,1234,bs.s1550_day2323_a.2.pha,51676.40698,1360,617.83,642.21,0.685,0.005,0.51,0.005,seg2323_a_rsfft.asc,0.1173,0.0016,1,94,611.567,22.55,1.019,0.043
day2325_a,200918974.4,200921378.4,51678.465,2404,50134-01-05-00,4,1234,bs.s1550_day2325_a.2.pha,51678.46503,2368,511.45,523.02,0.768,0.005,0.6,0.005,seg2325_a_rsfft.asc,0.1791,0.0016,1,94,505.014,28.234,1.017,0.043
day2327_a,201085442.4,201086931.4,51680.38642,1489,50135-01-01-00,4,1234,bs.s1550_day2327_a.2.pha,51680.38642,1440,450.1,458.27,0.793,0.005,0.627,0.005,seg2327_a_rsfft.asc,0.1929,0.0022,1,94,443.133,27.649,1.016,0.043
day2327_b,201086955.4,201087522.4,51680.3986,567,50135-01-01-00,3,234,bs.s1550_day2327_b.2.pha,51680.39855,544,452.05,460.82,0.791,0.005,0.617,0.005,seg2327_b_rsfft.asc,0.1889,0.0038,1,94,443.593,27.863,1.016,0.043
day2329_a,201251938.4,201253650.4,51682.31475,1712,50135-01-02-00,4,234,bs.s1550_day2329_a.2.pha,51682.31476,1680,353.51,353.04,0.884,0.005,0.722,0.005,seg2329_a_rsfft.asc,0.2258,0.0025,1,94,359.315,30.426,1.015,0.042
day2330_a,201378995.4,201381244.4,51683.78843,2249,50135-01-03-00,4,234,bs.s1550_day2330_a.2.pha,51683.78837,2224,285.4,280.21,0.955,0.005,0.811,0.005,seg2330_a_rsfft.asc,0.2351,0.0024,5,92,285.765,28.451,1.017,0.042
day2331_a,201464317.4,201465074.4,51684.76731,757,50135-01-04-00,5,1234,bs.s1550_day2331_a.2.pha,51684.76744,704,253.04,248.4,0.975,0.008,0.828,0.005,seg2331_a_rsfft.asc,0.2279,0.004,5,92,250.735,27.801,1.014,0.043
day2333_a,201596689.4,201598242.4,51686.304,1553,50135-01-05-00,5,1234,bs.s1550_day2333_a.2.pha,51686.30402,1520,212.8,207.23,0.994,0.006,0.848,0.005,seg2333_a_rsfft.asc,0.2326,0.0031,5,92,212.132,24.943,1.013,0.042
day2334_a,201676869.4,201678290.4,51687.23125,1421,50135-01-06-00,3,23,bs.s1550_day2334_a.2.pha,51687.23124,1392,188.93,183.46,0.99,0.007,0.857,0.005,seg2334_a_rsfft.asc,0.2341,0.004,5,92,192.895,26.184,1.013,0.042
